qid,query,docno,text,rank,score
0,Asylum Definition And Assessment,151_chunk001,"None of them possessed documentary evidence supporting their claimed ages and were referred for medical age assessments consisting of an X-ray of the left hand and wrist and a dental X-ray (Liversidge and Haavikko methods).

Following the assessments, in...",0,5.8518503976171425
0,Asylum Definition And Assessment,201_chunk001,"It was submitted on behalf of the applicant that a family could be a social group, and that the Tribunal had failed to assess whether...",1,5.638717731268793
0,Asylum Definition And Assessment,5442_chunk001,The Constitutional Court considered that the Federal Administrative Court duly assessed both the security and supply...,2,5.495891122579657
0,Asylum Definition And Assessment,3968_chunk000,The case concerned an applicant from Pakistan who applied unsuccessfully for asylum in 2012 and return was ordered. He applied for reconsideration which was assessed as subsequent application which was rejected and again an expulsion order was adopted. An appeal was again rejected.,3,5.420974232990168
0,Asylum Definition And Assessment,1648_chunk000,"The applicant applied for international protection on 13 January 2010, claiming to be a minor from Zimbabwe and by decision of 29 September 2010 the Federal Office for Asylum rejected the application as unfounded. Upon appeal, the Court of Asylum referred the matter back to the Federal Asylum Office for a new hearing and assessment.",4,5.272908046821849
0,Asylum Definition And Assessment,4036_chunk001,The Supreme Administrative Corut had to determine whether the administrative court could have assessed the application of the exclusion clause in the case without holding an oral...,5,5.107758306722866
0,Asylum Definition And Assessment,3231_chunk001,"Finally, it stated that if bone examinations contravene such records and assessments, creating a doubt concerning the applicant's minority, then the applicant should be given the...",6,5.107758306722866
0,Asylum Definition And Assessment,129_chunk000,"In the absence of legally binding criteria to assess risk of absconding, applicants may not be detained while waiting for a transfer under the Dublin Regulation.

...",7,4.990283112190747
0,Asylum Definition And Assessment,196_chunk001,"Based on Chapter III of the Dublin III Regulation, the Office of the Refugee Applications Commissioner determined that the United Kingdom was responsible to assess applicant's applications. At this point, the...",8,4.5698669695353855
0,Asylum Definition And Assessment,5443_chunk001,"It noted also that the lower court duly considered the admissibility of the removal on basis of current country of origin reports on Syria, by assessing both the security and supply situation in Syria as well as the...",9,4.475602991743769
0,Asylum Definition And Assessment,914_chunk001,The Migration Court of Appeal assessed whether the applicant had acted under duress and held that this was not the case as the applicant had benefitted from three permits and always came back to the place of employment. The applicant chose to flee...,10,4.475602991743769
0,Asylum Definition And Assessment,3250_chunk001,"Thus, the repealed provision, which states that the absence of proof of possession of the means to support oneself constitutes a threat to public order or safety and is a factor to be taken into account when assessing the duration of an entry ban of up...",11,4.385149240384235
0,Asylum Definition And Assessment,1086_chunk001,"Specifically, the assessment consisted of an initial observation by two officers from the Aliens Police, Identification and Human Trafficking Department (AVIM) on 22 January 2018, recorded in an official report, and a subsequent...",12,4.385149240384235
0,Asylum Definition And Assessment,513_chunk001,The Supreme Court narrowed the scope of their assessment to be that of whether the revocation violated their right to private life cf. the European Convention of Human Rights Article 8 and Paragraph 102 of the Norwegian...,13,4.385149240384235
0,Asylum Definition And Assessment,20_chunk001,"According to a medical opinion, treatment requires uninterrupted and controlled daily recurrence of medication and, in addition, a regular injection of medication, so that tuberculosis does not reactivate and become infectious. When assessing the issue, the Supreme...",14,4.385149240384235
0,Asylum Definition And Assessment,5443_chunk000,The Constitutional Court dismissed a complaint against the decision of the Federal Administrative Court concerning detention of a Syrian applicant pending return. It found that the lower court correctly assessed that the detention pending return and its extension were lawful.,15,4.134471220586689
0,Asylum Definition And Assessment,3231_chunk000,"In January 2022, the Cassation Court of France ruled that a bone examination was insufficient to confirm the applicant's majority. The court specified that, for such examinations to be considered conclusive, they should be corroborated by civil status records and social assessments.",16,4.134471220586689
0,Asylum Definition And Assessment,951_chunk001,"The Regional Court had dismissed the administrative action for the following reasons:
- there are no individual circumstances which the applicant should reasonably assess a well founded fear of persecution. It has not been shown in the proceedings that the applicant had certain political views, nor has it been shown that the Taliban...",17,4.134471220586689
0,Asylum Definition And Assessment,1086_chunk000,"A national of Ivory Coast applied for international protection on 22 January 2018, claiming that he was born on 2001 but did not submit documents to prove his date of birth. Following an age assessment, the State Secretary concluded that the applicant was not a minor.",18,3.982690309526741
0,Asylum Definition And Assessment,989_chunk001,"The Council of State upheld the CNDA's decision and rejected OFPRA's appeal on the grounds that the Court's sovereign assessment on the applicant's inadequate understanding and mastery of the English language could not be denatured. In this case, the Office's inadmissibility decision on the grounds of late submission was...",19,3.910903559343424
0,Asylum Definition And Assessment,972_chunk001,"Inter alia, the applicant challenged the incorrect legal assessment of the genuineness of his conversion, while mainly reprehending the non-application of the ‘benefit of doubt' principle, insufficient verification of his faith resulting from the fact that only one interview was carried out, during which the defendant failed to focus to a sufficient...",20,3.841658857086875
0,Asylum Definition And Assessment,920_chunk000,"Between 26 July and 1 October 2015, 5 Afghan nationals applied for international protection in Norway, claiming to be 15-16 years old. After further assessments, which also included medical age examinations, the immigration authorities considered that they were all older than 18 years.",21,3.7748235267810446
0,Asylum Definition And Assessment,656_chunk000,The case concerns an appeal against the decision of the Court of The Hague of 5 October 2016 in case no. 16/20135. The Administrative Jurisdiction Division of the Council of State clarified that the Immigration and Naturalisation Service (IND ) is required to assess in an individual manner whether the criteria for protection still exist.,22,3.7102739674974634
0,Asylum Definition And Assessment,137_chunk000,"In a case of a Somali applicant related to family reunification, the Supreme Court held that the trial judge was incorrect in forming the view that the potential financial consequences for the State of allowing a discretionary family reunification application cannot be taken into account in the overall assessment as to how the Minister's discretion under the 1996 Act should be exercised.",23,3.6478948904828914
0,Asylum Definition And Assessment,654_chunk000,"F.L., a Cameroonian national claiming to be a minor, applied for international protection in Belgium on 8 January 2018. On the same day, based on his physical appearance and statements, the Minors and Victims of Trafficking in Human Beings Unit of the Belgian Immigration Office expressed doubts as to his claimed minority and referred him for an immediate medical age assessment.",24,3.4727383791045146
0,Asylum Definition And Assessment,927_chunk000,"In the Senate's conviction, a comprehensive assessment of the current state of knowledge now lacks sufficient evidence to suggest that Syrian retired military-age returnees (conscripts, reservists) who have evaded from military service due to flight abroad are likely to be linked to ( alleged) oppositional or anti-regime sentiments of Syrian security forces to fear persecution (change in the Senat",25,3.12286277839165
0,Asylum Definition And Assessment,2511_chunk000,"The Federal Administrative Court allowed an appeal on points of law in order to clarify the  requirements for the assessment of a 'strong presumption' (European Union, Court of Justice of the European Union [CJEU], EZ v Bundesrepublik Deutschland (Federal Republic of Germany), C-238/19, ECLI:EU:C:2020:945, 19 November 2020 - paragraph 57) for a link between the refusal of military service...",26,3.078553944713447
0,Asylum Definition And Assessment,923_chunk000,An applicant must submit a request for protection with which he asserts target-country-related dangers that are objectively suitable in their nature for recognition as a person entitled to asylum or an award for international protection (material asylum request within the meaning of Section 13 (1) Asylum Act) refer the asylum procedure to the Federal Office.,27,1.9178286152679365
0,Asylum Definition And Assessment,3272_chunk001,"The case concerned the accused monk B., who granted church asylum to A., from the Gaza strip, on 25 August 2020 and provided him accommodation and care with the knowledge that A. was a rejected asylum applicant.

A. applied for asylum on 22 April...",28,1.904091911639368
0,Asylum Definition And Assessment,562_chunk000,The case raises the issue of whether a subsequent application for asylum has been submitted at the time when the foreign national applies in writing by expressing the wish to submit an application for a temporary asylum residence permit or at the time when he/she uses the appropriate form to submit the application for asylum.,29,1.8474407646337991
0,Asylum Definition And Assessment,550_chunk000,"The case involved an asylum seeker upon whom detention was imposed as a measure to ensure a Dublin procedure. The asylum seeker lodged a complaint against a decision that had been issued based on Art. 5 of the Asylum Act 2005, rejecting the application as inadmissible.",30,1.8474407646337991
0,Asylum Definition And Assessment,563_chunk000,"The case concerns the moment at which an asylum application is lodged, in particular with regard to a subsequent asylum application. This moment is important for the entitlement to reception by the foreign national.",31,1.8221150827786152
0,Asylum Definition And Assessment,510_chunk000,"The Court of Sessions found there was no unlawful discrimination arising from a reduction in the amount of asylum support payable to asylum seekers with one or more dependent children, following a government review. ...",32,1.770170393503916
0,Asylum Definition And Assessment,56_chunk001,"The applicants claimed asylum in Ireland on 16 December 2014, and completed their asylum application questionnaires on 26 December 2014. An information request by the Office of the Refugee Applications...",33,1.770170393503916
0,Asylum Definition And Assessment,921_chunk001,"More analytically, a female asylum seeker had upon arrival to Norway...",34,1.7501396024977072
0,Asylum Definition And Assessment,148_chunk000,The case concerns “sur place” asylum claims.,35,1.7501396024977072
0,Asylum Definition And Assessment,914_chunk000,A. applied for asylum in Sweden in April 2015. The application was rejected and the applicant excluded from asylum for having committed crimes against humanity while working as a guard in Eritrea. An expulsion order had also been issued.,36,1.745293066357548
0,Asylum Definition And Assessment,186_chunk000,"According the WLR Daily case summaries The asylum claimant, an Iraqi national, entered the United Kingdom and claimed asylum. His claim was refused by the Secretary of State and he appealed pursuant to section 82 of the Nationality, Immigration and Asylum Act 2002. His appeal was dismissed by the First-tier Tribunal.",37,1.7436835137720603
0,Asylum Definition And Assessment,4235_chunk000,"The case concerned two Iranian applicant, a father and his minor child, who entered the Röszke transit zone and applied for asylum on 5 December 2018. The asylum authority rejected the application as inadmissible and considered that Serbia was a safe third country where the applicants should have requested asylum. The decision was confirmed in court.",38,1.72751321435211
0,Asylum Definition And Assessment,34_chunk000,"On 14 September 2015, Mr Tsegezab Mengesteab, an Eritrean national, requested asylum in Munich (Germany) with the Government of Upper Bavaria, which issued to him, on the same day, a certificate of registration as an asylum seeker. On 22 July 2016, Mr Mengesteab was heard by the Bundesamt and was able to lodge an official application for asylum.",39,1.72751321435211
0,Asylum Definition And Assessment,4828_chunk001,"On 1 August 2023, the Minister for Asylum and Migration declared...",40,1.7021635774667276
0,Asylum Definition And Assessment,170_chunk000,Administrative Court Düsseldorf The plaintiff is an asylum seeker and claims to be from Bangladesh.,41,1.7021635774667276
0,Asylum Definition And Assessment,993_chunk000,According to the national contribution to the EMN Report on Migration and Asylum 2019:,42,1.656747675870009
0,Asylum Definition And Assessment,992_chunk000,According to the national contribution to the EMN Report on Migration and Asylum 2019:,43,1.656747675870009
0,Asylum Definition And Assessment,991_chunk000,According to the national contribution to the EMN Report on Migration and Asylum 2019:,44,1.656747675870009
0,Asylum Definition And Assessment,130_chunk000,The Council ruled that to be able to transfer an applicant to another member state the administrative authority must obtain the consent of the State responsible for examining the asylum application before it can take a decision to transfer the asylum seeker to that State.,45,1.6524039441628875
0,Asylum Definition And Assessment,209_chunk000,"In this case, the applicant applied for asylum in his city of residence, Ceuta, and his application was admitted. At that point the Spanish authorities issued him the corresponding identity document valid for the entire national territory and until the resolution of his asylum application.",46,1.6524039441628875
0,Asylum Definition And Assessment,196_chunk000,The applicant applied for asylum in two occasions: in the United Kingdom in 2009 and in Northern Ireland in 2014 and both applications were refused by the corresponding British Authorities. The applicant moved to Ireland in August 2016 where he submitted a new asylum application.,47,1.6307063162411402
0,Asylum Definition And Assessment,56_chunk000,The applicants were two Albanian asylum seekers who challenged the decision of the Refugee Appeals Tribunal upholding the decision of the Office of the Refugee Applications Commissioner that the United Kingdom was the member state responsible for determining their applications for asylum.,48,1.6307063162411402
0,Asylum Definition And Assessment,979_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,49,1.6136923010963085
0,Asylum Definition And Assessment,997_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,50,1.6136923010963085
0,Asylum Definition And Assessment,972_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,51,1.6136923010963085
0,Asylum Definition And Assessment,983_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,52,1.6136923010963085
0,Asylum Definition And Assessment,998_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,53,1.6136923010963085
0,Asylum Definition And Assessment,995_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,54,1.6136923010963085
0,Asylum Definition And Assessment,994_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,55,1.6136923010963085
0,Asylum Definition And Assessment,988_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,56,1.6136923010963085
0,Asylum Definition And Assessment,989_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,57,1.6136923010963085
0,Asylum Definition And Assessment,990_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,58,1.6136923010963085
0,Asylum Definition And Assessment,986_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,59,1.6136923010963085
0,Asylum Definition And Assessment,987_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,60,1.6136923010963085
0,Asylum Definition And Assessment,985_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,61,1.6136923010963085
0,Asylum Definition And Assessment,984_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,62,1.6136923010963085
0,Asylum Definition And Assessment,23_chunk000,"The Finnish Immigration Service had rejected A 's application for asylum and residence permit on the basis of the conflict between A and his father' s claims for asylum. Although the father's report has thus affected A's case, he or she has not been given the opportunity to give an explanation of the report and contradictions that it has in relation to his or her report.",63,1.609571123795568
0,Asylum Definition And Assessment,183_chunk000,"These cases concern the detention of Syrian asylum seekers during different periods between 2010 and 2012. In the cases of M.A., A.H. and J.K., H.S. and Others and K.F. the detention occurred after a police operation in June 2010 removing them from an encampment outside government buildings where they were protesting against the Cypriot Government's asylum policy.",64,1.609571123795568
0,Asylum Definition And Assessment,141_chunk001,"Second, the High Court concurred with the SSHD that confidentiality is a vital element for the working of the asylum system and the fulfilment of obligations under the Refugee Convention, the EU Qualification Directive and the European Convention on Human Rights (ECHR). The disclosure of information revealed during the asylum...",65,1.5889767778626451
0,Asylum Definition And Assessment,954_chunk000,The applicants were an Albanian mother and her two daughters whose applications for asylum were refused by the Refugee Applications Commissioner.,66,1.5728180793640756
0,Asylum Definition And Assessment,625_chunk001,No appeal is possible against these judgments. Background: Both aliens initially applied for asylum in Hungary. They then applied for...,67,1.5728180793640756
0,Asylum Definition And Assessment,22_chunk000,"The Finnish Immigration Service had rejected asylum seeker A's application for asylum and residence permit and decided to return him to his country of origin, Iraq. On 29 June 2017 A. requested permission to appeal the decision of the Administrative Court and to be granted international protection.",68,1.5689027804370126
0,Asylum Definition And Assessment,45_chunk000,The administrative authority considered applicant's another subsequent application (third application) for international protection inadmissible and terminated the proceedings according to the provisions of the Act on Asylum implementing Art. 33(2)(d) and Art. 40 of the Recast Asylum Procedures Directive.,69,1.5689027804370126
0,Asylum Definition And Assessment,35_chunk000,"! With regard to reception, UK implements Council Directive 2003/9/EC. This case concerns a challenge to a decision by the Secretary of State for the Home Department (""the Respondent"") as to the weekly rate of asylum support paid for child dependants of asylum seekers.",70,1.5689027804370126
0,Asylum Definition And Assessment,5890_chunk000,"Six Iraqi nationals, a family of two parents and their four minor children, entered the Hungarian transit zone bordering Serbia on 10 July 2018 and submitted an asylum application. On the same day, the asylum authority designated the transit zone in Tompa as the applicants' place of stay.",71,1.5493296564192718
0,Asylum Definition And Assessment,3963_chunk001,"He left Iran for Turkey in 2015 (where he applied for asylum) and from there he travelled to Czechia in 2019. In support of his request, the...",72,1.5339633618091175
0,Asylum Definition And Assessment,3137_chunk001,"He requested an interpreter, but the form was left blank on the part of lawyer assistance.

The application for asylum was rejected as...",73,1.5339633618091175
0,Asylum Definition And Assessment,931_chunk001,The appellant had been granted subsidiary protection status in Denmark in 2015. The individual's family was granted asylum in...,74,1.5339633618091175
0,Asylum Definition And Assessment,108_chunk001,The applicant subsequently lodged a request for his asylum application to be reconsidered followed by an application for temporary admission on...,75,1.5339633618091175
0,Asylum Definition And Assessment,55_chunk001,As part of her asylum claim the applicant submitted a refugee card and a letter from AREF to corroborate her account. The...,76,1.5339633618091175
0,Asylum Definition And Assessment,4164_chunk000,"VR arrived in Lithuania on 25 April 2022, with the assistance of Freedom House Foundation. He requested asylum in Lithuania after his visa for special humanitarian reasons had expired. In his asylum request, the applicant argued that he had a well-founded fear of being persecuted for his political beliefs.",77,1.5302388905949904
0,Asylum Definition And Assessment,584_chunk000,"The applicant sought judicial review of the decision to refuse him asylum in Ireland, which he had applied for on the basis of fear of persecution due to issues with the Taliban and Lashkar-e-Islam. The applicant had tactically not applied for asylum in another Member State, which was a factor the decision maker was permitted to take into consideration.",78,1.5302388905949904
0,Asylum Definition And Assessment,3276_chunk001,The court noted that Romania was already unprepared to accommodate asylum applicants before the Ukrainian crisis and that with the high influx of persons...,79,1.4969820878950295
0,Asylum Definition And Assessment,3277_chunk001,"When the asylum procedure starts, applicants are usually assigned a lawyer through the Legal Aid Board. The applicant claimed that he received the contested...",80,1.4969820878950295
0,Asylum Definition And Assessment,970_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by the MO MoI SR):,81,1.4969820878950295
0,Asylum Definition And Assessment,974_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by the MO MoI SR):,82,1.4969820878950295
0,Asylum Definition And Assessment,976_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by the MO MoI of SR):,83,1.4969820878950295
0,Asylum Definition And Assessment,961_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by MO MoI SR):,84,1.4969820878950295
0,Asylum Definition And Assessment,978_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by the MO MoI of SR):,85,1.4969820878950295
0,Asylum Definition And Assessment,967_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by MO MoI SR):,86,1.4969820878950295
0,Asylum Definition And Assessment,964_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by MO MoI SR):,87,1.4969820878950295
0,Asylum Definition And Assessment,562_chunk001,"This moment is important for the commencement date of the temporary asylum residence permit granted to the foreign national.

By decision...",88,1.4969820878950295
0,Asylum Definition And Assessment,643_chunk000,As per the published press release: The Council of State validates the criteria to be met by a new asylum application to be admissible.,89,1.4969820878950295
0,Asylum Definition And Assessment,4705_chunk000,"Judgment concerning the freedom of movement of asylum seekers in Ceuta and Melilla, although his application for international protection was admitted for examination.

...",90,1.4969820878950295
0,Asylum Definition And Assessment,577_chunk000,"This case concerns the validity of asylum application in accordance with § 29 para. 1 no. 5 i. V. m. Section 71a (1) Asylum Act, in accordance with Section 31 (3) Sentence 1 AsylG. It also refers to the examination of a prohibition on removal according to § 60 Abs. 5 AufenthG i. V. m.",91,1.493434825798304
0,Asylum Definition And Assessment,1647_chunk001,"On 18 March 2020, the Federal Office for Foreign Affairs and Asylum conducted the interview remotely, by video-conference...",92,1.4617419506056315
0,Asylum Definition And Assessment,1648_chunk001,"On 17 November 2011, the Federal Asylum Office rejected again the application, after having found also that the applicant was from Nigeria and ordered the return....",93,1.4617419506056315
0,Asylum Definition And Assessment,512_chunk001,"An asylum seeker from Afghanistan had been expelled and issued with a five year entry ban to Norway in 2012, due to not leaving the country...",94,1.4617419506056315
0,Asylum Definition And Assessment,127_chunk000,The Administrative Court of Nice has ordered the Prefecture of Alpes-Maritimes to register asylum applications of persons entering via Italy....,95,1.4617419506056315
0,Asylum Definition And Assessment,931_chunk000,"Pursuant to Art. 4a of the Asylum Act 2005, an application for international protection is to be rejected as inadmissible where the foreign person has been granted asylum or subsidiary protection status in another EEA Member State or Switzerland. In the specific case, the appellant, a Syrian citizen, filed an application for international protection in April 2018.",96,1.4583595447352078
