qid,query,docno,docid,score,rank,text
104,Asylvurdering Ved Flygtningenævnet,syri20266_chunk005,3764,0.9052677,0,Flygtningenævnet har derfor ikke taget stilling hertil. Ansøgeren har i forbindelse med sin verserende asylsag som asylmotiv for det første henvist til den generelle situation i Syrien. Ansøgeren har imidlertid under mødet i Flygtningenævnet ligeledes frafaldet dette asylmotiv som følge af nævnets afgørelser af 3. og 4. marts 2026 i sager vedrørende syriske statsborgere.
104,Asylvurdering Ved Flygtningenævnet,rusl20265_chunk008,4744,0.9026625,1,Flygtningenævnet kan efter en samlet vurdering af oplysningerne i sagen ikke lægge ansøgernes forklaring om deres asylmotiver til grund.
104,Asylvurdering Ved Flygtningenævnet,stat202610_chunk007,1318,0.9020463,2,"Flygtningenævnet fandt ved afgørelsen [fra efteråret] 2025, at de tidligere påberåbte asylmotiver vedrørende [asylmotiv] fortsat ikke kunne føre til asyl. Flygtningenævnet henviste til de grunde, der er anført i nævnets afgørelser [fra foråret] 2021 og [efteråret] 2023. Flygtningenævnet kan også under nærværende behandling af sagen tiltræde dette."
104,Asylvurdering Ved Flygtningenævnet,syri20266_chunk006,3765,0.900365,3,"Flygtningenævnet har således heller ikke taget stilling til dette asylmotiv. I forbindelse med den verserende asylsag har ansøgeren som asylmotiv for det andet henvist til, at hun ved en tilbagevenden til Syrien vil være enlig kvinde uden eller med et meget begrænset mandligt netværk."
104,Asylvurdering Ved Flygtningenævnet,syri20267_chunk010,3833,0.8999901,4,"Flygtningenævnet kan i det væsentlige lægge ansøgerens forklaring til grund. For så vidt angår det af ansøgeren påberåbte asylmotiv om at være enlig kvinde i Syrien sammenholdt med hendes helbredsmæssige situation: Flygtningenævnet finder, at ansøgeren ikke har sandsynliggjort, at hun ved en tilbagevenden til Syrien vil være i risiko for asylbegrundende forfølgelse som følge heraf."
104,Asylvurdering Ved Flygtningenævnet,syri20267_chunk005,3828,0.898674,5,Ansøgeren har under mødet i Flygtningenævnet frafaldet disse asylmotiver. Flygtningenævnet har derfor ikke taget stilling hertil. Ansøgeren har i forbindelse med sin verserende asylsag som asylmotiv for det første henvist til den generelle situation i Syrien.
104,Asylvurdering Ved Flygtningenævnet,keny20262_chunk013,1448,0.8971753,6,Flygtningenævnets flertal kan i det væsentlige lægge ansøgerens forklaring om sine asylmotiver til grund.
104,Asylvurdering Ved Flygtningenævnet,niga20267_chunk019,73,0.89633214,7,"s asylansøgning.

Samlet finder Flygtningenævnet, at ansøgeren generelt har forklaret forskelligt og usammenhængende om en række væsentlige forhold i asylsagen, at hendes forklaring om baggrunden for uoverensstemmelserne ikke har været overbevisende, og at det også gør sig gældende for ansøgerens forklaring og besvarelse i forbindelse med nævnsmødet."
104,Asylvurdering Ved Flygtningenævnet,niga20267_chunk010,64,0.89586294,8,"Flygtningenævnet vurderer, at dette ikke forekommer overbevisende sammenholdt med, at ansøgeren på sædvanlig vis blev gjort bekendt med, at hun skulle meddele de oplysninger, som var nødvendige for at bedømme hendes asylansøgning, og at hun skulle tale sandt. Samtidig har ansøgeren i asylansøgningsforløbet forklaret divergerende og udbyggende på en række andre væsentlige punkter."
104,Asylvurdering Ved Flygtningenævnet,afgh202650_chunk017,3330,0.8957459,9,"r asylbegrundende forfølgelse ved en tilbagevenden.

Flygtningenævnet stadfæster derfor Udlændingestyrelsens afgørelse.” Afgh/2026/50/ysn"
104,Asylvurdering Ved Flygtningenævnet,stat202615_chunk024,187,0.8957281,10,"Flygtningenævnet kan i øvrigt lægge ansøgerens forklaring om sine asylmotiver til grund, men finder ligesom Udlændingestyrelsen, at ansøgeren ikke herved er i risiko for forfølgelse eller overgreb omfattet af udlændingelovens § 7. Flygtningenævnet stadfæster derfor Udlændingestyrelsens afgørelse [fra foråret] 2026.” stat/2026/15/anjv"
104,Asylvurdering Ved Flygtningenævnet,syri202621_chunk003,191,0.8953317,11,"Flygtningenævnet kan lægge ansøgerens forklaringer om sine asylmotiver til grund, men disse kan ikke begrunde, at ansøgeren ved en tilbagevenden til Syrien vil være i risiko for at blive udsat for forfølgelse eller overgreb omfattet af udlændingelovens § 7. Flygtningenævnet har ved afgørelsen heraf henset til de samme omstændigheder som Udlændingestyrelsen i afgørelsen [fra sommeren] 2026."
104,Asylvurdering Ved Flygtningenævnet,stat202615_chunk016,179,0.89467806,12,"Flygtningenævnet kan ikke lægge til grund, at ansøgeren har været tilbageholdt af den Frie Syriske Hær. Flygtningenævnet har, ligesom Udlændingestyrelsen, herved henset til at ansøgeren har forklaret udbyggende om dette. Han har således ikke forklaret om dette i sit asylskema eller til sin Oplysning- og Motivsamtale [i vinteren 2023/2024], men først til sin samtale [i foråret] 2026 oplyst herom."
104,Asylvurdering Ved Flygtningenævnet,rusl20264_chunk007,4624,0.8941742,13,Flygtningenævnet tilsidesætter herefter ansøgernes forklaringer om asylmotivet.
104,Asylvurdering Ved Flygtningenævnet,syri20267_chunk006,3829,0.89408815,14,Ansøgeren har imidlertid under mødet i Flygtningenævnet ligeledes frafaldet dette asylmotiv som følge af nævnets afgørelser af 3. og 4. marts 2026 i sager vedrørende syriske statsborgere. Flygtningenævnet har således heller ikke taget stilling til dette asylmotiv.
