qid,query
104,Asylvurdering Ved Flygtningenævnet
103,health notifications and claimant status
11,Perceived Past Behavior & Plausibility
25,Eritrean Asylum Seekers' Journeys
122,Swedish Dublin Forordningen Respons
65,flygtningenævnet case evaluations
63,Residence permit revocation guidance
114,Persecution Risk Assessment Cluster
132,Applicant Identity & Background
84,Female Genital Mutilation Ethiopia
83,Armed Conflict and Regional Instability
44,Sweden’s Human Rights Compliance
68,Asylansøgerens forklaring og vurdering
66,Udlændingestyrelsen Asylum Claims Review
30,Perceived Past Behavior & Plausibility
41,False asylum claims and statements
26,Asylansøgeres Grundlæggende Behov
18,Perceived Past Behavior & Plausibility
131,High Court Extradition Denials
55,Bulgarian Returnee Asylum Challenges
124,italian refugee rights and claims
3,flygtningenævnet asylum decisions
108,Damascus Versus Rural Communities
35,Appeals And Revisions Of Decisions
88,Syrian Kidnappings And Protection Failures
99,International Protection Application Processing
15,Perceived Past Behaviour Plausibility
17,Applicant Sexual Orientation Explanation
9,Dublin Regulation Definition
129,Ukrainian Asylum & Political Activism
