qid,query
-1,Outliers
0,ukraine military recruitment cluster
1,Applicant Family Legal Disputes
2,Credibility Assessment Definitions
3,flygtningenævnet asylum decisions
4,Emergency Reception Conditions
5,Danish Asylum Application Law
6,Dublin III Forordning Article Definitions
7,Flygtningenævnet Syrian Citizen Decisions
8,Syrian Child Registration Challenges
9,Dublin Regulation Definition
10,Sentiment And Credibility Assessment
11,Perceived Past Behavior & Plausibility
12,Asylum Denial And Reopening Cases
13,Perceived Past Behavior & Plausibility
14,Udlændingestyrelsens Afgørelser & Dublin
15,Perceived Past Behaviour Plausibility
16,Perceived Past Behavior & Plausibility
17,Applicant Sexual Orientation Explanation
18,Perceived Past Behavior & Plausibility
19,Applicant Explanation Assessment
20,Perceived Past Behavior & Plausibility
21,Udlændingestyrelse og Flygtningenævnet
22,Mental Health & Treatment Needs
23,Flygtningenævnet Applicant Assessment
24,Three-Legged Asylum Determination
25,Eritrean Asylum Seekers' Journeys
26,Asylansøgeres Grundlæggende Behov
27,Drc Dansk Flygtningehjælp Referral Definitions
28,Persecution Risk Assessment
29,Dublin Returnee Support & Process
30,Perceived Past Behavior & Plausibility
31,Refugee Protection Risk Assessment
32,Asylum Motivations: Sexual Orientation
33,Perceived Past Behavior & Plausibility
34,Uganda Anti-LGBT+ Legal Crisis
35,Appeals And Revisions Of Decisions
36,Sweden Claimant Transfer Legal Basis
37,denmark claimant investigation 1999
38,Lebanon Palestinian Refugee Status
39,Political Party Activities
40,Asylum Claim Definitions
41,False asylum claims and statements
42,Dublin Regulation Asylum Transfers
43,EU Charter Fundamental Rights
44,Sweden’s Human Rights Compliance
45,Applicant Background Information
46,taliban-fueled asylum motivations
47,Credibility Assessment Definition
48,Kurdish Situation in Syria
49,Forced Refugee Repatriation Law
50,Female Public Sector Reintegration
51,Flygtningeafgørelse Interpretation
52,Residence Cancellation Decisions
53,ukrainian detention centre conditions
54,Asylum Credibility Assessment Criteria
55,Bulgarian Returnee Asylum Challenges
56,Alien Persecution Risk Assessment
57,German Claimant Legal Obligations
58,klageren legal case overview
59,Dublin Forordningen Overview
60,Asylum Credibility Assessment Context
61,Dublin Regulation Asylum Rejection
62,Swedish Asylum Transfer Confirmation
63,Residence permit revocation guidance
64,Asylmotiv And Related Issues
65,flygtningenævnet case evaluations
66,Udlændingestyrelsen Asylum Claims Review
67,Religious Conversion Movement Analysis
68,Asylansøgerens forklaring og vurdering
69,Claimant Age Information
70,Asylum Motivation And Passage
71,Asylum Claim Definitions And Law
72,German Transfer Confirmation Process
73,International Protection Application Responsibility
74,Asylum Seeking And Motivation
75,Syria Women's Returning Support
76,Asylum Seeking and Family Fears
77,Denmark Residence Permit Revocation
78,Asylum Application Risk Assessment
79,K-status Asylum Application Definition
80,European Human Rights Case 2024-2025
81,Islamic Dress Code Restrictions
82,refugee appeals board reasoning
83,Armed Conflict and Regional Instability
84,Female Genital Mutilation Ethiopia
85,Asylum Applications And Stateless Persons
86,coa places shortage forecast
87,Vulnerability Of Single Women
88,Syrian Kidnappings And Protection Failures
89,LGBT+ Asylum and Family Planning
90,flygtningenævnet §48 statement
91,Vulnerable Population Support Needs
92,Unrwa Assistance And Living Conditions
93,Asylbegrundende Forfølgelse Definition
94,Ukrainian Refugee Board Assessments
95,European Court Of Human Rights
96,asylum applicant motivations
97,Denmark: Difficulties and Backgrounds
98,Snhr And Syrian Women’s Views
99,International Protection Application Processing
100,Swiss Refugee Treatment Concerns
101,Domestic Violence Asylum Motivations
102,ukraine asylum and military service
103,health notifications and claimant status
104,Asylvurdering Ved Flygtningenævnet
105,Single Mother’s Movement Restrictions
106,Eritrean Asylum Seeker Persecution Risk
107,Asylum Applicant Motivation
108,Damascus Versus Rural Communities
109,Transfer Restrictions And Poland/Romania
110,taliban family threats and violence
111,Asylum System Deficiencies & Problems
112,germany’s international protection responsibility
113,International Protection Needs Definition
114,Persecution Risk Assessment Cluster
115,Unrwa Palestinian Refugee Assistance
116,Syrian Women's Equality Barriers
117,Social Media Profile Analysis
118,Refugee Asylum Standards Recognition
119,fano and the ethiopian conflict
120,Asylum Seeker Transfer Restrictions
121,Netherlands Asylum Seeker Accommodation
122,Swedish Dublin Forordningen Respons
123,International Protection Application Refusal
124,italian refugee rights and claims
125,Marital Status And Administrative Issues
126,russian conflict and human rights
127,Experiences Of Violence And Harassment
128,flygtning nævnet decision reasoning
129,Ukrainian Asylum & Political Activism
130,Cross-Border Economic Survival
131,High Court Extradition Denials
132,Applicant Identity & Background
133,Chinese Citizen Exit Controls
134,Opholdstilladelse Udelukkelse Og Udvisning
135,Refugee Health and Functional Challenges
