qid,docno,label
0,151_chunk001,2
0,201_chunk001,4
0,5442_chunk001,2
0,3968_chunk000,2
0,1648_chunk000,2
0,4036_chunk001,4
0,3231_chunk001,4
0,129_chunk000,2
0,196_chunk001,4
0,5443_chunk001,4
0,914_chunk001,2
0,3250_chunk001,2
0,1086_chunk001,4
0,513_chunk001,4
0,20_chunk001,2
0,5443_chunk000,2
0,3231_chunk000,1
0,951_chunk001,2
0,1086_chunk000,2
0,989_chunk001,2
0,972_chunk001,2
0,920_chunk000,4
0,656_chunk000,4
0,137_chunk000,2
0,654_chunk000,4
0,927_chunk000,2
0,2511_chunk000,2
0,923_chunk000,4
0,3272_chunk001,4
0,562_chunk000,4
0,550_chunk000,4
0,563_chunk000,4
0,510_chunk000,1
0,56_chunk001,1
0,921_chunk001,2
0,148_chunk000,4
0,914_chunk000,4
0,186_chunk000,4
0,4235_chunk000,4
0,34_chunk000,2
0,4828_chunk001,2
0,170_chunk000,2
0,993_chunk000,4
0,992_chunk000,4
0,991_chunk000,4
0,130_chunk000,4
0,209_chunk000,4
0,196_chunk000,2
0,56_chunk000,2
0,979_chunk000,4
0,997_chunk000,4
0,972_chunk000,4
0,983_chunk000,4
0,998_chunk000,4
0,995_chunk000,4
0,994_chunk000,4
0,988_chunk000,4
0,989_chunk000,4
0,990_chunk000,4
0,986_chunk000,4
0,987_chunk000,4
0,985_chunk000,4
0,984_chunk000,4
0,23_chunk000,4
0,183_chunk000,2
0,141_chunk001,2
0,954_chunk000,2
0,625_chunk001,4
0,22_chunk000,2
0,45_chunk000,2
0,35_chunk000,2
0,5890_chunk000,4
0,3963_chunk001,2
0,3137_chunk001,1
0,931_chunk001,2
0,108_chunk001,2
0,55_chunk001,4
0,4164_chunk000,4
0,584_chunk000,4
0,3276_chunk001,4
0,3277_chunk001,2
0,970_chunk000,4
0,974_chunk000,4
0,976_chunk000,4
0,961_chunk000,4
0,978_chunk000,4
0,967_chunk000,4
0,964_chunk000,4
0,562_chunk001,2
0,643_chunk000,4
0,4705_chunk000,2
0,577_chunk000,4
0,1647_chunk001,2
0,1648_chunk001,2
0,512_chunk001,2
0,127_chunk000,4
0,931_chunk000,4
0,88_chunk000,2
0,170_chunk001,2
0,4231_chunk000,4
1,940_chunk001,2
1,4729_chunk001,2
1,582_chunk000,1
1,151_chunk001,2
1,57_chunk001,2
1,201_chunk001,4
1,5442_chunk001,2
1,3240_chunk001,4
1,108_chunk000,4
1,366_chunk000,2
1,4036_chunk001,4
1,3231_chunk001,1
1,129_chunk000,2
1,196_chunk001,4
1,5443_chunk001,2
1,914_chunk001,2
1,52_chunk000,2
1,3250_chunk001,2
1,1086_chunk001,4
1,513_chunk001,4
1,20_chunk001,2
1,3968_chunk000,2
1,5443_chunk000,1
1,3231_chunk000,2
1,951_chunk001,2
1,1086_chunk000,1
1,989_chunk001,2
1,972_chunk001,1
1,920_chunk000,2
1,656_chunk000,2
1,137_chunk000,1
1,1648_chunk000,1
1,654_chunk000,4
1,927_chunk000,2
1,2511_chunk000,2
2,3964_chunk001,4
2,3964_chunk000,4
2,636_chunk001,4
2,940_chunk001,4
2,3137_chunk001,2
2,4729_chunk001,4
2,582_chunk000,2
2,151_chunk001,4
2,57_chunk001,4
2,201_chunk001,4
2,5442_chunk001,4
2,3240_chunk001,4
2,37_chunk000,5
2,108_chunk000,4
2,366_chunk000,4
2,4036_chunk001,4
2,3231_chunk001,4
2,668_chunk000,4
2,129_chunk000,4
2,606_chunk000,5
