topic_id,chunk_id,doc_id,chunk_index,total_chunks,chunk_text,item_id,title,url,country,published_date,court,case_type,case_number,topic_keywords,topic_probability,credibility_score,determination_score,legal_ground_score,explanation_score,dominant_label,topic_name
0,5442_chunk000,5442,0,2,The Constitutional Court rejected the complaint submitted by a Syrian national on grounds of a potential violation of Articles 2 and 3 of the European Convention on Human Rights (ECHR) due to the decision to remove the applicant and return him to Syria. The Constitutional Court did not find procedural deficiencies in the Federal Administrative Court decision.,5442,AT: The Constitutional Court found that the assessment conducted by the Federal Administrative Court on return of a Syrian applicant was lawful as it was based on updated country of origin information on the security situation.,https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=5442&returnurl=%2fPages%2fsearch.aspx,Austria,18/09/2025,AT: Constitutional Court [Verfassungsgerichtshof Österreich],Decision,E1539/2025,"the, of, to, in, and, for, that, on, was, applicant",0.9601922020327468,0.85626554,0.7923262,0.84844834,0.7684646,CREDIBILITY,Applicant Detention and Asylum Claims
0,5442_chunk001,5442,1,2,The Constitutional Court considered that the Federal Administrative Court duly assessed both the security and supply...,5442,AT: The Constitutional Court found that the assessment conducted by the Federal Administrative Court on return of a Syrian applicant was lawful as it was based on updated country of origin information on the security situation.,https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=5442&returnurl=%2fPages%2fsearch.aspx,Austria,18/09/2025,AT: Constitutional Court [Verfassungsgerichtshof Österreich],Decision,E1539/2025,"the, of, to, in, and, for, that, on, was, applicant",0.9557124163461909,0.8585965,0.83184105,0.8486208,0.82193094,CREDIBILITY,Applicant Detention and Asylum Claims
0,5443_chunk000,5443,0,2,The Constitutional Court dismissed a complaint against the decision of the Federal Administrative Court concerning detention of a Syrian applicant pending return. It found that the lower court correctly assessed that the detention pending return and its extension were lawful.,5443,AT: The Constitutional Court confirmed that the current situation in Syria does not indicate a real risk of a violation of Articles 2 and 3 of the ECHR in case of return.,https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=5443&returnurl=%2fPages%2fsearch.aspx,Austria,18/09/2025,AT: Constitutional Court [Verfassungsgerichtshof Österreich],Decision,E2795/2025,"the, of, to, in, and, for, that, on, was, applicant",0.931363092667055,0.8346163,0.7860524,0.82005185,0.7548217,CREDIBILITY,Applicant Detention and Asylum Claims
0,5443_chunk001,5443,1,2,"It noted also that the lower court duly considered the admissibility of the removal on basis of current country of origin reports on Syria, by assessing both the security and supply situation in Syria as well as the...",5443,AT: The Constitutional Court confirmed that the current situation in Syria does not indicate a real risk of a violation of Articles 2 and 3 of the ECHR in case of return.,https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=5443&returnurl=%2fPages%2fsearch.aspx,Austria,18/09/2025,AT: Constitutional Court [Verfassungsgerichtshof Österreich],Decision,E2795/2025,"the, of, to, in, and, for, that, on, was, applicant",0.9571121135985641,0.8816299,0.8191745,0.85392815,0.80473244,CREDIBILITY,Applicant Detention and Asylum Claims
0,5889_chunk000,5889,0,2,"The applicants, F.S. and A.S., two brothers who fled Afghanistan after losing their parents in a bombing, travelled through Pakistan, Iran, Turkey, Bulgaria and Serbia before arriving in the Hungarian transit zone in Röszke on 24 October 2017. There, they were detained in a 5-person container on their own and applied for asylum.",5889,"The ECtHR examined the case of two Afghan brothers claiming to be minors who were detained in the Röszke transit zone, and found that their detention breached Articles 5(1) and 5(4) of the ECHR, while the detention conditions amounted to a violation of Article 3 in respect of the younger brother, who was confirmed to be underage. The court rejected the complaint under Article 13 concerning the lack of a direct appeal against the age assessment, finding that it had been lodged out of time.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=5889&returnurl=%2fPages%2fsearch.aspx,Council of Europe,19/06/2025,CoE: European Court of Human Rights [ECtHR],Judgment,No 50872/18,"the, of, to, in, and, for, that, on, was, applicant",1.0,0.83940256,0.78032225,0.81993127,0.7643776,CREDIBILITY,Applicant Detention and Asylum Claims
0,5889_chunk001,5889,1,2,"Upon registration, they were asked their ages by the authorities and claimed to be 14 and 7 years old respectively. As they were undocumented, they...",5889,"The ECtHR examined the case of two Afghan brothers claiming to be minors who were detained in the Röszke transit zone, and found that their detention breached Articles 5(1) and 5(4) of the ECHR, while the detention conditions amounted to a violation of Article 3 in respect of the younger brother, who was confirmed to be underage. The court rejected the complaint under Article 13 concerning the lack of a direct appeal against the age assessment, finding that it had been lodged out of time.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=5889&returnurl=%2fPages%2fsearch.aspx,Council of Europe,19/06/2025,CoE: European Court of Human Rights [ECtHR],Judgment,No 50872/18,"the, of, to, in, and, for, that, on, was, applicant",0.9672884137182945,0.8453089,0.8014315,0.81639373,0.76817954,CREDIBILITY,Applicant Detention and Asylum Claims
0,5890_chunk000,5890,0,2,"Six Iraqi nationals, a family of two parents and their four minor children, entered the Hungarian transit zone bordering Serbia on 10 July 2018 and submitted an asylum application. On the same day, the asylum authority designated the transit zone in Tompa as the applicants' place of stay.",5890,"Relying on R.R and Others v Hungary, the ECtHR found a violation of Article 3 of the ECHR regarding four Iraqi children held in the Tompa transit zone for more than six months due to the conditions therein, the minor applicants’ age and the fifth applicant’s spinal muscular atrophy and her vulnerability. The court also found a violation of Article 5(1) and (4) of the ECHR with regard to all applicants.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=5890&returnurl=%2fPages%2fsearch.aspx,Council of Europe,19/06/2025,CoE: European Court of Human Rights [ECtHR],Judgment,No 39498/18,"the, of, to, in, and, for, that, on, was, applicant",0.9438302000291866,0.8355169,0.7971138,0.8187747,0.78409094,CREDIBILITY,Applicant Detention and Asylum Claims
0,5890_chunk001,5890,1,2,"On 22 August 2018, at the applicants' request, the ECtHR, under the interim measure procedure, ordered the Hungarian Government to ensure that the environment in which the applicants were placed...",5890,"Relying on R.R and Others v Hungary, the ECtHR found a violation of Article 3 of the ECHR regarding four Iraqi children held in the Tompa transit zone for more than six months due to the conditions therein, the minor applicants’ age and the fifth applicant’s spinal muscular atrophy and her vulnerability. The court also found a violation of Article 5(1) and (4) of the ECHR with regard to all applicants.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=5890&returnurl=%2fPages%2fsearch.aspx,Council of Europe,19/06/2025,CoE: European Court of Human Rights [ECtHR],Judgment,No 39498/18,"the, of, to, in, and, for, that, on, was, applicant",0.9886448880398373,0.8323609,0.7853997,0.82370406,0.7877258,CREDIBILITY,Applicant Detention and Asylum Claims
0,6098_chunk000,6098,0,2,"An Egyptian national lodged a subsequent application for international protection, claiming that he feared persecution in the event of return to Egypt on account of his sexual orientation. The Office for the Protection of Refugees and Stateless Persons (OFPRA) rejected the application on 27 April 2022.",6098,"FR: The Council of State held that, in assessing a claim based on sexual orientation, the absence of specific criminal provisions penalising same-sex relations in the country of origin is irrelevant, as persecution may arise from the abusive application of general laws or from acts committed by or tolerated by the authorities.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=6098&returnurl=%2fPages%2fsearch.aspx,France,13/03/2025,FR: Council of State [Conseil d'État],Decision,No 489258,"the, of, to, in, and, for, that, on, was, applicant",0.9761660722025806,0.8358192,0.77517945,0.8160848,0.7451076,CREDIBILITY,Applicant Detention and Asylum Claims
0,6098_chunk001,6098,1,2,"The applicant appealed that decision before the National Court of Asylum (CNDA), which dismissed the appeal on 9 May 2023 on the ground that Egyptian criminal law does not criminalise same-sex...",6098,"FR: The Council of State held that, in assessing a claim based on sexual orientation, the absence of specific criminal provisions penalising same-sex relations in the country of origin is irrelevant, as persecution may arise from the abusive application of general laws or from acts committed by or tolerated by the authorities.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=6098&returnurl=%2fPages%2fsearch.aspx,France,13/03/2025,FR: Council of State [Conseil d'État],Decision,No 489258,"the, of, to, in, and, for, that, on, was, applicant",0.9192525460399867,0.8690011,0.8307702,0.85631925,0.79223424,CREDIBILITY,Applicant Detention and Asylum Claims
0,5761_chunk000,5761,0,2,"A. and B., together with their two children, requested international protection in Romania on 12 July 2023 and in Switzerland on 26 July 2023. On 11 August 2023, they submitted an application for recognition of statelessness in Switzerland, claiming to be stateless Maktumin from Syria.",5761,"CH: The Federal Administrative Court dismissed the appeal of a stateless Maktumin family from Syria, holding that the applicants, who were in Romania following a Dublin transfer, lacked a legally protected interest in Switzerland to access the statelessness determination procedure.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=5761&returnurl=%2fPages%2fsearch.aspx,Switzerland,12/03/2025,CH: Federal Administrative Court [Bundesverwaltungsgericht - Tribunal administratif fédéral - FAC],Judgment,F-6775/2023,"the, of, to, in, and, for, that, on, was, applicant",0.9686320890035451,0.8507165,0.7900942,0.8228588,0.77410316,CREDIBILITY,Applicant Detention and Asylum Claims
0,5761_chunk001,5761,1,2,"On 7 November 2023, the State Secretariat for Migration (SEM) rejected their asylum application and ordered their transfer to Romania. By separate decision, also dated 7 November 2023, the SEM rejected the...",5761,"CH: The Federal Administrative Court dismissed the appeal of a stateless Maktumin family from Syria, holding that the applicants, who were in Romania following a Dublin transfer, lacked a legally protected interest in Switzerland to access the statelessness determination procedure.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=5761&returnurl=%2fPages%2fsearch.aspx,Switzerland,12/03/2025,CH: Federal Administrative Court [Bundesverwaltungsgericht - Tribunal administratif fédéral - FAC],Judgment,F-6775/2023,"the, of, to, in, and, for, that, on, was, applicant",0.9821971890592469,0.8478198,0.8034373,0.8302199,0.77660775,CREDIBILITY,Applicant Detention and Asylum Claims
0,4999_chunk000,4999,0,2,"The applicant is a national from Ethiopia. On 26 January 2024, the applicant requested international protection in Luxembourg. In support of her application, she claimed that she feared persecution and rape on account of her membership of the Ahmara ethnic group.",4999,"LU: The Administrative Tribunal held that further examination of the Hungarian asylum system was needed in the case of a Dublin transfer to Hungary, and that, where the general situation of deficiencies is known to the authorities of the requesting Member State, there is no need to place the full burden of proof on the applicant; it further held that a transfer acceptance letter, without concrete individual assurances that a person returned under Dublin would be accepted in the asylum procedure, was not enough to guarantee the right to apply for international protection.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4999&returnurl=%2fPages%2fsearch.aspx,Luxembourg,20/09/2024,LU: Administrative Tribunal [Tribunal administratif],Judgment,No 50977,"the, of, to, in, and, for, that, on, was, applicant",0.9537902934452585,0.8401548,0.78841597,0.82678574,0.7673188,CREDIBILITY,Applicant Detention and Asylum Claims
0,4999_chunk001,4999,1,2,"The Ministry of Home Affairs found that the responsible State for examining the application under the Dublin III Regulation was Hungary, as the applicant had a Hungarian...",4999,"LU: The Administrative Tribunal held that further examination of the Hungarian asylum system was needed in the case of a Dublin transfer to Hungary, and that, where the general situation of deficiencies is known to the authorities of the requesting Member State, there is no need to place the full burden of proof on the applicant; it further held that a transfer acceptance letter, without concrete individual assurances that a person returned under Dublin would be accepted in the asylum procedure, was not enough to guarantee the right to apply for international protection.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4999&returnurl=%2fPages%2fsearch.aspx,Luxembourg,20/09/2024,LU: Administrative Tribunal [Tribunal administratif],Judgment,No 50977,"the, of, to, in, and, for, that, on, was, applicant",1.0,0.83245575,0.7763524,0.81847215,0.7482933,CREDIBILITY,Applicant Detention and Asylum Claims
0,4997_chunk000,4997,0,2,"The applicants were a married couple and their child, of Armenian ethnicity, originating from the autonomous region of Nagorno-Karabakh. On 31 August 2021 they applied for international protection in Germany. In support of their application they claimed that the husband (applicant 1) had been drafted to the army in Nagorno-Karabakh after the outbreak of the war in September 2020.",4997,"DE: The Administrative Court of Kassel overturned a decision by the Federal Office for Migration and Refugees (BAMF) and ruled that a married couple and their child from Nagorno-Karabakh, who were effectively stateless, faced a well-founded risk of persecution if returned to Azerbaijan, as the refusal to recognise civil status and to issue travel documents to ethnic Armenians of Azerbaijani origin constituted an act of persecution.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4997&returnurl=%2fPages%2fsearch.aspx,Germany,16/09/2024,DE: Regional Administrative Court [Verwaltungsgericht],Judgment,1 K 1819/23.KS.A,"the, of, to, in, and, for, that, on, was, applicant",0.9736536075913321,0.8314868,0.7832942,0.82038766,0.7567125,CREDIBILITY,Applicant Detention and Asylum Claims
0,4997_chunk001,4997,1,2,"After his wife (applicant 2) moved to Yerevan (Armenia), he decided to leave the army...",4997,"DE: The Administrative Court of Kassel overturned a decision by the Federal Office for Migration and Refugees (BAMF) and ruled that a married couple and their child from Nagorno-Karabakh, who were effectively stateless, faced a well-founded risk of persecution if returned to Azerbaijan, as the refusal to recognise civil status and to issue travel documents to ethnic Armenians of Azerbaijani origin constituted an act of persecution.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4997&returnurl=%2fPages%2fsearch.aspx,Germany,16/09/2024,DE: Regional Administrative Court [Verwaltungsgericht],Judgment,1 K 1819/23.KS.A,"the, of, to, in, and, for, that, on, was, applicant",0.9832672116070444,0.83421606,0.7998924,0.81987804,0.7636758,CREDIBILITY,Applicant Detention and Asylum Claims
0,4998_chunk000,4998,0,2,"The applicant is a national of Iran. On 27 December 2023, he requested international protection in Luxembourg. In support of his application, he claimed he feared persecution, inhumane and degrading treatment or even the death penalty because of his homosexuality, his opposition to the Iranian government and his support to the “organisation of the Mujahedin of the Iranian People”.",4998,"LU: The Administrative Tribunal held that further examination of the Hungarian asylum system was needed in the case of a Dublin transfer to Hungary, and that, where the general situation of deficiencies is known to the authorities of the requesting Member State, there is no need to place the full burden of proof on the applicant; it further held that a transfer acceptance letter, without concrete individual assurances that a person returned under Dublin would be accepted in the asylum procedure, was not enough to guarantee the right to apply for international protection.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4998&returnurl=%2fPages%2fsearch.aspx,Luxembourg,30/08/2024,LU: Administrative Tribunal [Tribunal administratif],Judgment,No 50847,"the, of, to, in, and, for, that, on, was, applicant",0.9979621884388591,0.84206194,0.79010874,0.83014274,0.7594572,CREDIBILITY,Applicant Detention and Asylum Claims
