qid,docno,label
103,bulg20263_chunk024,4
103,dub-fran20262_chunk037,4
103,dub-belg20261_chunk023,2
103,dub-belg20262_chunk029,2
103,ukra20263_chunk001,4
103,ukra20263_chunk022,2
103,syri20265_chunk016,2
103,dub-bulg20261_chunk033,2
103,irak20265_chunk007,2
103,rusl20267_chunk021,2
103,ukra20266_chunk020,2
103,dub-bulg20261_chunk032,2
103,keny20262_chunk000,4
103,ugan20263_chunk000,4
103,ugan202610_chunk000,4
103,syri20263_chunk000,4
103,ugan202612_chunk000,4
103,syri20261_chunk000,2
103,dub-bulg20261_chunk012,2
103,ukra20266_chunk021,2
103,irak20263_chunk000,4
103,ukra20266_chunk019,4
103,syri202620_chunk000,4
103,bulg20263_chunk021,2
103,ugan20262_chunk000,4
103,ugan202618_chunk000,4
103,syri20264_chunk050,2
103,dub-bulg20261_chunk025,1
103,afgh202649_chunk000,2
103,land20261_chunk000,2
103,erit20268_chunk000,2
103,dub-bulg20261_chunk036,2
103,paki20262_chunk000,4
103,soma20266_chunk011,2
103,ugan202614_chunk000,4
103,erit20266_chunk000,2
103,ugan202620_chunk000,4
103,erit20265_chunk000,2
103,afgh202645_chunk004,4
103,ugan202621_chunk000,4
103,erit20267_chunk000,2
103,irak20265_chunk000,2
103,stat202610_chunk018,2
103,syri20266_chunk000,2
103,dub-bulg20261_chunk031,2
103,dub-nede20265_chunk016,4
103,stat20265_chunk014,4
103,dub-nede20263_chunk018,1
103,dub-nede20262_chunk018,1
103,dub-nede20261_chunk015,1
103,dub-nede20264_chunk016,1
103,dub-bulg20261_chunk023,2
103,afgh202618_chunk000,4
103,rusl202614_chunk000,4
103,ukra202610_chunk011,2
103,stat20265_chunk016,2
103,afgh202617_chunk000,4
103,syri20262_chunk037,1
103,syri20266_chunk037,1
103,syri20267_chunk037,1
103,dub-bulg20261_chunk027,1
103,land20263_chunk000,4
103,syri20267_chunk000,2
103,rusl202627_chunk000,4
103,myan20261_chunk000,4
103,ugan20268_chunk000,4
103,erit20263_chunk000,4
103,afgh20267_chunk024,2
103,afgh20267_chunk000,4
103,soma20266_chunk000,2
103,syri20263_chunk006,1
103,syri20262_chunk011,1
103,ukra20266_chunk017,4
103,syri20261_chunk009,0
103,syri20266_chunk012,0
103,syri20267_chunk012,0
103,syri20261_chunk034,1
103,syri20263_chunk032,1
103,stat20265_chunk022,2
103,syri20264_chunk031,2
103,stat202610_chunk016,4
103,syri202613_chunk013,2
103,stat20265_chunk013,2
103,dub-bulg20261_chunk028,1
103,stat20265_chunk018,2
104,syri202614_chunk014,4
104,syri202621_chunk003,4
104,syri202614_chunk014_dup1,4
104,rusl202610_chunk012,4
104,tyrk20261_chunk013,4
104,rusl202615_chunk008,4
104,soma202611_chunk014,4
104,afgh202650_chunk017,4
104,geor20263_chunk018,2
104,ukra202614_chunk016,4
104,soma20262_chunk022,4
104,niga20261_chunk022,4
104,soma20261_chunk021,4
104,maro20261_chunk020,4
104,ukra202614_chunk009,4
104,dub-fran20263_chunk008,4
104,ugan202615_chunk011,4
104,syri20264_chunk007,4
104,syri20265_chunk006,4
104,rusl20264_chunk008,4
104,ugan202614_chunk012,4
104,fran20264_chunk004,4
104,syri202615_chunk007,4
104,dub-belg20261_chunk005,4
104,iran202564_chunk013,4
104,soma20261_chunk018,4
104,afgh202617_chunk021,4
104,erit20263_chunk018,5
104,land20263_chunk014,5
104,stat20261_chunk008,4
104,ghan20261_chunk004,4
104,dub-rumae20263_chunk032,4
104,irak20265_chunk003,4
104,geor20263_chunk016,4
104,stat20262_chunk017,4
104,syri20267_chunk059,4
104,afgh202611_chunk008,4
104,ugan202617_chunk014,4
104,bosn20261_chunk001,5
104,keny20262_chunk007,4
104,syri202613_chunk023,4
104,etio20264_chunk003,5
104,afgh202618_chunk007,0
104,afgh202617_chunk008,0
104,dub-rumae20264_chunk014,4
104,ugan202617_chunk015,4
104,ugan202621_chunk001,4
104,syri202618_chunk010,4
104,ukra20266_chunk001,5
104,paki20261_chunk001,4
104,alder20261_chunk003,4
104,afgh202610_chunk027,4
104,tyrk20264_chunk003,4
104,stat202610_chunk003,4
104,afgh202646_chunk007,5
104,afgh20267_chunk002,5
104,afgh202610_chunk015,4
104,arme20262_chunk001,5
104,niga20266_chunk001,5
104,paki20263_chunk002,5
104,irak20264_chunk002,4
104,ukra202620_chunk030,4
104,soma202610_chunk003,4
104,dub-malt20261_chunk005,4
104,syri202618_chunk017,4
104,arme20261_chunk002,4
104,niga20261_chunk005,4
104,afgh202610_chunk008,4
104,ukra20269_chunk011,4
104,ukra202620_chunk024,4
104,maro20261_chunk014,4
104,ugan202614_chunk006,4
104,etio20261_chunk016,4
104,syri20264_chunk040,5
104,syri202617_chunk026,4
104,ukra202618_chunk015,4
104,ukra202617_chunk015,4
104,rusl202627_chunk010,4
104,stat20264_chunk016,4
104,syri202611_chunk005,4
104,syri202616_chunk003,4
104,keny20262_chunk004,4
104,syri20261_chunk059,4
104,hjem20261_chunk003,4
104,dub-ital20261_chunk021,4
104,stat20264_chunk017,5
104,rusl202616_chunk019,4
104,niga20261_chunk011,4
104,dub-rumae20263_chunk014,4
104,rusl202613_chunk004,5
104,keny20262_chunk037,4
104,stat202615_chunk020,4
104,alge20261_chunk002,4
104,dub-pole20261_chunk012,4
104,afgh202649_chunk004,4
104,afgh20267_chunk003,5
104,dub-ital20261_chunk019,4
104,dub-ital20261_chunk017,4
104,stat20265_chunk021,4
104,alder20261_chunk008,4
108,syri20262_chunk023,4
108,syri20266_chunk023,4
108,syri20267_chunk023,4
108,syri20261_chunk015,4
108,syri20263_chunk013,4
108,syri20262_chunk018,4
108,syri20261_chunk020,4
108,syri20263_chunk018,4
108,syri20266_chunk018,4
108,syri20267_chunk018,4
108,syri20261_chunk032,4
108,syri20263_chunk030,4
108,syri20262_chunk035,4
108,syri20266_chunk035,4
108,syri20267_chunk035,4
108,syri20264_chunk026,4
108,syri20263_chunk061,4
108,syri20263_chunk062,4
108,syri20264_chunk027,4
108,syri20267_chunk045,2
108,syri20261_chunk042,2
108,syri20263_chunk040,2
108,syri20262_chunk045,2
108,syri20266_chunk045,2
108,syri20264_chunk030,4
108,syri20264_chunk033,4
108,syri20263_chunk057,2
108,syri20264_chunk022,2
108,syri20264_chunk035,4
108,syri20261_chunk021,4
108,syri20263_chunk019,4
108,syri20262_chunk024,4
108,syri20266_chunk024,4
108,syri20267_chunk024,4
108,syri20267_chunk031,2
108,syri20261_chunk028,2
108,syri20263_chunk026,2
108,syri20262_chunk031,2
108,syri20266_chunk031,2
11,erit20261_chunk031,4
11,syri20263_chunk060,4
11,syri20264_chunk025,4
11,bulg20263_chunk011,4
114,syri20261_chunk054,4
114,syri20263_chunk052,4
114,syri20262_chunk057,4
114,syri20266_chunk058,4
114,syri20267_chunk058,4
114,erit20261_chunk037,4
114,afgh202649_chunk020,4
114,rusl20266_chunk016,4
114,dub-bulg20261_chunk048,4
114,ugan20262_chunk011,4
114,ugan202610_chunk013,4
114,bulg20263_chunk031,4
114,bulg20263_chunk036,4
114,bulg20263_chunk030,2
114,syri20262_chunk028,4
114,syri20266_chunk028,4
114,syri20261_chunk025,4
114,syri20263_chunk023,4
114,rusl202634_chunk017,4
114,rusl202635_chunk018,4
114,rusl202629_chunk022,4
114,rusl20266_chunk021,4
114,syri20267_chunk028,4
114,bulg20263_chunk032,2
114,rusl202629_chunk017,4
114,bulg20263_chunk028,4
114,rusl20266_chunk019,4
114,rusl202629_chunk020,4
114,rusl202635_chunk016,4
114,rusl202635_chunk013,4
114,dub-pole20262_chunk015,4
114,dub-bulg20261_chunk035,3
114,bulg20263_chunk018,3
114,stat202610_chunk018,4
114,dub-fran20262_chunk041,4
114,afgh202649_chunk019,4
114,syri202613_chunk027,4
114,syri202614_chunk012,4
114,syri202614_chunk012_dup1,4
114,syri20264_chunk047,4
114,syri20265_chunk014,4
114,rusl202629_chunk018,4
114,rusl20266_chunk017,4
114,rusl202635_chunk014,4
114,dub-belg20261_chunk010,4
114,dub-belg20262_chunk016,4
114,bulg20263_chunk019,4
114,bulg20263_chunk022,2
114,rusl202634_chunk012,4
114,bulg20263_chunk034,4
114,rusl202634_chunk015,4
114,bulg20263_chunk033,0
114,rusl20266_chunk015,4
114,rusl202629_chunk016,4
114,rusl202634_chunk013,4
114,rusl202635_chunk012,4
114,rusl202634_chunk011,4
122,dub-rumae20262_chunk007,4
122,dub-sver202618_chunk010,4
122,dub-nede20264_chunk025,4
122,dub-tysk20261_chunk006,4
122,dub-rumae20263_chunk018,4
122,dub-rumae20263_chunk019,4
122,dub-belg20262_chunk035,4
122,29b-bul20261_chunk003,4
122,dub-bulg20261_chunk010,4
122,dub-tysk20263_chunk011,4
122,dub-rumae20264_chunk008,4
122,dub-tysk202614_chunk008,4
122,dub-sver202615_chunk008,4
122,dub-schw20261_chunk007,4
122,dub-span20262_chunk005,4
122,dub-ital20261_chunk019,5
122,dub-nede20265_chunk021,4
122,dub-rumae20263_chunk027,4
122,dub-bulg20261_chunk054,4
122,dub-ital20261_chunk018,4
122,dub-rumae20263_chunk025,4
122,dub-span20263_chunk022,4
122,dub-span20263_chunk015,4
122,dub-bulg20261_chunk056,4
122,dub-ital20261_chunk022,4
122,dub-span20264_chunk013,4
122,dub-norg20262_chunk006,5
122,dub-belg20262_chunk011,2
122,dub-bulg20261_chunk063,5
122,dub-span20263_chunk009,4
122,dub-pole20262_chunk018,4
122,dub-span20263_chunk003,4
122,dub-sver202618_chunk005,4
122,dub-tysk20263_chunk015,4
122,dub-fran20262_chunk008,4
122,tysk2026167_chunk012,4
122,dub-bulg20261_chunk053,5
122,dub-sver202618_chunk019,4
122,dub-rumae20263_chunk020,5
122,dub-bulg20261_chunk049,4
122,dub-tysk202620_chunk006,4
122,dub-tysk20262_chunk011,4
122,dub-pole20257_chunk010,4
122,dub-bulg20261_chunk051,4
122,dub-fran20263_chunk011,4
122,fran20264_chunk007,4
122,dub-fran20263_chunk031,4
122,dub-nede20263_chunk027,4
122,dub-bulg20261_chunk013,4
122,dub-fran20263_chunk009,4
122,fran20264_chunk005,4
122,bulg20263_chunk008,4
122,dub-span20264_chunk015,4
122,dub-finl20265_chunk007,4
122,dub-fran20263_chunk012,2
122,bulg20263_chunk009,2
122,dub-tysk202627_chunk011,4
122,dub-tysk202622_chunk012,4
122,fran20264_chunk008,2
122,dub-fran20262_chunk011,2
122,dub-malt20261_chunk011,4
122,dub-malt20262_chunk010,4
122,dub-fran20262_chunk024,4
122,dub-sver202615_chunk012,4
122,dub-sver202618_chunk016,5
122,tysk2026167_chunk007,5
122,dub-belg20261_chunk028,4
122,dub-belg20262_chunk034,4
122,dub-fran20263_chunk025,4
122,dub-fran20262_chunk009,4
122,dub-tysk20264_chunk009,4
122,dub-pole20257_chunk009,4
122,dub-tysk20264_chunk004,5
122,dub-bulg20261_chunk022,2
122,fran20264_chunk021,4
122,dub-bulg20261_chunk020,4
122,dub-fran20263_chunk021,4
122,fran20264_chunk017,4
122,dub-fran20262_chunk020,4
122,dub-fran20263_chunk018,4
122,fran20264_chunk014,4
122,dub-fran20262_chunk017,4
122,dub-pole20263_chunk009,4
122,dub-bulg20261_chunk021,4
122,dub-bulg20261_chunk023,4
122,dub-bulg20261_chunk014,4
122,dub-fran20262_chunk013,1
122,fran20264_chunk010,1
122,dub-tysk202611_chunk008,4
122,dub-fran20263_chunk014,1
122,dub-bulg20261_chunk015,4
122,dub-fran20263_chunk016,2
122,fran20264_chunk012,2
122,dub-fran20262_chunk015,2
122,rusl20267_chunk012,4
122,dub-bulg20261_chunk018,4
122,rusl20267_chunk016,4
122,dub-bulg20261_chunk025,4
122,bulg20263_chunk016,4
