qid,docid,docno,query,text,score,rank
103,1162,bulg20263_chunk024,health notifications and claimant status,"Applicants who are children, unaccompanied children, disabled, elderly, pregnant, single parents taking care of underage children, victims of trafficking, persons with serious health issues, psychological disorders or persons who suffered torture, rape or other forms of psychological, physical or sexual violence are considered as individuals belonging to a vulnerable group.",-10.024445533752441,0
103,3390,dub-fran20262_chunk037,health notifications and claimant status,"In Lyon, Marseille, Paris and its surroundings, no subsequent claimants can benefit from reception conditions. In a few cases, subsequent claimants can benefit from these conditions after demonstrating their particular vulnerability and their specific needs in terms of accommodation. It is also possible after these 15 days to lodge an appeal before the administrative court.",-13.255332946777344,1
103,2491,dub-belg20261_chunk023,health notifications and claimant status,"Health care and a dignified standard of living should be always ensured. According to the Constitutional Court, the decision to refuse reception in such cases can only be taken in cases of abuse of the asylum procedure, e.g. when the person applies for asylum for the sole purpose of extending the right to reception.",-13.338537216186523,2
103,2548,dub-belg20262_chunk029,health notifications and claimant status,"Health care and a dignified standard of living should be always ensured. According to the Constitutional Court, the decision to refuse reception in such cases can only be taken in cases of abuse of the asylum procedure, e.g. when the person applies for asylum for the sole purpose of extending the right to reception.",-13.338537216186523,3
103,2669,ukra20263_chunk001,health notifications and claimant status,"Ansøgeren har som asylmotiv henvist til, at han frygter, at de ukrainske myndigheder vil ændre hans status som fritaget for militærtjeneste og tvangsmobilisere ham. Ansøgeren har til støtte herfor oplyst, at han i [vinteren 2023/2024] blev opsøgt af fire uniformerede personer på gaden.",-13.466225624084473,4
103,2690,ukra20263_chunk022,health notifications and claimant status,"Politiet har da rett til å pågripe personen og bringe vedkommende til TRC for videre vurdering og avgjørelse om mobilisering. Når en borger bringes til TRC, kan han holdes midlertidig for verifisering av persondata, medisinsk undersøkelse og videre vurdering av status.",-13.600847244262695,5
103,3903,syri20265_chunk016,health notifications and claimant status,"3, hvorefter enhver ved sin blotte tilstedeværelse i et område vil være i reel risiko for overgreb i strid med Den Europæiske Menneskerettighedskonventions artikel 3 som følge af vilkårlig og udbredt vold i forbindelse med en væbnet konflikt. Afledt status og konsekvensstatus[:] Flygtningenævnet har d.d. meddelt ansøgerens forældre afslag på opholdstilladelse efter udlændingelovens § 7.",-13.618468284606934,6
103,1101,dub-bulg20261_chunk033,health notifications and claimant status,"Medical records were also found to be extremely poor with confidentiality not respected as medical data had been made available to non-medical staff. Equipment of health-care units was also assessed as very basic, no oxygen available, broken ultrasound machines, ECG and defibrillators kept uncharged, with overall meagre medication stocks.",-13.641672134399414,7
103,1720,irak20265_chunk007,health notifications and claimant status,"Klagerens advokat har til støtte for statusændringen gjort gældende, at Flygtningenævnet [i sommeren] 2024 tog stilling til klagers synspunkt om, at hun ikke ville kunne opnå beskyttelse fra myndighederne mod vold og social kontrol udøvet af hendes familie. Der er imidlertid tale om en samlet vurdering.",-13.703224182128906,8
103,4648,rusl20267_chunk021,health notifications and claimant status,"Innsatte og migranter … Det har vært mange nyhetsmeldinger om at arbeidsmigranter, hovedsakelig fra Sentral-Asia, har blitt rekruttert. Kilder Landinfo har intervjuet, mente at myndighetene anser det som lett å rekruttere migranter, på grunn av deres sårbarhet og ofte uavklarte juridiske status i Russland. Mange har ikke arbeidstillatelse og blir truet med deportasjon.",-13.809967041015625,9
103,4365,ukra20266_chunk020,health notifications and claimant status,"Both reports also underline that mental health services are limited, and that psychological conditions arising from stress, isolation and overcrowding are not adequately addressed in many facilities.",-13.825605392456055,10
103,1100,dub-bulg20261_chunk032,health notifications and claimant status,"However, the report found all other aspects of health-care provision unsatisfactory with medical screening on arrival perfunctory at best, and frequently factually inaccurate, with virtually all screening forms containing absolutely identical data on pulse, blood pressure and temperature.",-13.876601219177246,11
103,1435,keny20262_chunk000,health notifications and claimant status,"Nævnet meddelte i juli 2026 opholdstilladelse (K-status) til en kvindelig statsborger fra Kenya. Det fremgår af sagen, at ansøgeren indrejste i 2024. Ansøgeren blev i 2025 idømt 30 dages betinget fængsel for vold eller trussel om vold mod nogen i offentlig tjeneste. Ansøgeren blev ligeledes udvist af Danmark med et indrejseforbud i 6 år.",-13.883753776550293,12
103,5145,ugan20263_chunk000,health notifications and claimant status,"Nævnet meddelte i februar 2026 opholdstilladelse (K-status) til en mand fra Uganda. Indrejst i 2024. Flygtningenævnet udtalte: ”Ansøgeren er etnisk muganda og ikkereligiøs fra [by A], Uganda. Ansøgeren har ikke været medlem af politiske eller religiøse foreninger eller organisationer eller i øvrigt været politisk aktiv.",-13.920493125915527,13
