qid,docid,docno,query,text,score,rank
0,264,923_chunk000,Asylum Definition And Assessment,An applicant must submit a request for protection with which he asserts target-country-related dangers that are objectively suitable in their nature for recognition as a person entitled to asylum or an award for international protection (material asylum request within the meaning of Section 13 (1) Asylum Act) refer the asylum procedure to the Federal Office.,-5.079954624176025,0
0,151,1648_chunk000,Asylum Definition And Assessment,"The applicant applied for international protection on 13 January 2010, claiming to be a minor from Zimbabwe and by decision of 29 September 2010 the Federal Office for Asylum rejected the application as unfounded. Upon appeal, the Court of Asylum referred the matter back to the Federal Asylum Office for a new hearing and assessment.",-5.786447525024414,1
0,388,643_chunk000,Asylum Definition And Assessment,As per the published press release: The Council of State validates the criteria to be met by a new asylum application to be admissible.,-8.176758766174316,2
0,74,3968_chunk000,Asylum Definition And Assessment,The case concerned an applicant from Pakistan who applied unsuccessfully for asylum in 2012 and return was ordered. He applied for reconsideration which was assessed as subsequent application which was rejected and again an expulsion order was adopted. An appeal was again rejected.,-8.578688621520996,3
0,235,1086_chunk001,Asylum Definition And Assessment,"Specifically, the assessment consisted of an initial observation by two officers from the Aliens Police, Identification and Human Trafficking Department (AVIM) on 22 January 2018, recorded in an official report, and a subsequent...",-8.697835922241211,4
0,348,563_chunk000,Asylum Definition And Assessment,"The case concerns the moment at which an asylum application is lodged, in particular with regard to a subsequent asylum application. This moment is important for the entitlement to reception by the foreign national.",-9.154701232910156,5
0,314,577_chunk000,Asylum Definition And Assessment,"This case concerns the validity of asylum application in accordance with § 29 para. 1 no. 5 i. V. m. Section 71a (1) Asylum Act, in accordance with Section 31 (3) Sentence 1 AsylG. It also refers to the examination of a prohibition on removal according to § 60 Abs. 5 AufenthG i. V. m.",-9.53442668914795,6
0,162,921_chunk001,Asylum Definition And Assessment,"More analytically, a female asylum seeker had upon arrival to Norway...",-9.767823219299316,7
0,119,3277_chunk001,Asylum Definition And Assessment,"When the asylum procedure starts, applicants are usually assigned a lawyer through the Legal Aid Board. The applicant claimed that he received the contested...",-9.78970718383789,8
0,393,108_chunk001,Asylum Definition And Assessment,The applicant subsequently lodged a request for his asylum application to be reconsidered followed by an application for temporary admission on...,-10.124616622924805,9
0,240,931_chunk000,Asylum Definition And Assessment,"Pursuant to Art. 4a of the Asylum Act 2005, an application for international protection is to be rejected as inadmissible where the foreign person has been granted asylum or subsidiary protection status in another EEA Member State or Switzerland. In the specific case, the appellant, a Syrian citizen, filed an application for international protection in April 2018.",-10.132636070251465,10
0,523,148_chunk000,Asylum Definition And Assessment,The case concerns “sur place” asylum claims.,-10.143404006958008,11
0,367,550_chunk000,Asylum Definition And Assessment,"The case involved an asylum seeker upon whom detention was imposed as a measure to ensure a Dublin procedure. The asylum seeker lodged a complaint against a decision that had been issued based on Art. 5 of the Asylum Act 2005, rejecting the application as inadmissible.",-10.208956718444824,12
0,346,562_chunk000,Asylum Definition And Assessment,The case raises the issue of whether a subsequent application for asylum has been submitted at the time when the foreign national applies in writing by expressing the wish to submit an application for a temporary asylum residence permit or at the time when he/she uses the appropriate form to submit the application for asylum.,-10.314738273620605,13
0,476,186_chunk000,Asylum Definition And Assessment,"According the WLR Daily case summaries The asylum claimant, an Iraqi national, entered the United Kingdom and claimed asylum. His claim was refused by the Secretary of State and he appealed pursuant to section 82 of the Nationality, Immigration and Asylum Act 2002. His appeal was dismissed by the First-tier Tribunal.",-10.439464569091797,14
0,472,196_chunk000,Asylum Definition And Assessment,The applicant applied for asylum in two occasions: in the United Kingdom in 2009 and in Northern Ireland in 2014 and both applications were refused by the corresponding British Authorities. The applicant moved to Ireland in August 2016 where he submitted a new asylum application.,-10.47769546508789,15
0,539,55_chunk001,Asylum Definition And Assessment,As part of her asylum claim the applicant submitted a refugee card and a letter from AREF to corroborate her account. The...,-10.510307312011719,16
0,435,170_chunk001,Asylum Definition And Assessment,"The Court ruled that with the rules on distribution and allocation (§§ 50, 51 AsylG), the law takes into account the regularly particularly important public interest , the burden associated with the reception of asylum seekers in terms of accommodation, food and supervision, evenly on the Federal states and municipalities (see § 45 AsylG). In that regard, an asylum seeker - such as the...",-10.599133491516113,17
0,101,3137_chunk001,Asylum Definition And Assessment,"He requested an interpreter, but the form was left blank on the part of lawyer assistance.

The application for asylum was rejected as...",-10.694969177246094,18
0,23,4828_chunk001,Asylum Definition And Assessment,"On 1 August 2023, the Minister for Asylum and Migration declared...",-10.758272171020508,19
0,468,130_chunk000,Asylum Definition And Assessment,The Council ruled that to be able to transfer an applicant to another member state the administrative authority must obtain the consent of the State responsible for examining the asylum application before it can take a decision to transfer the asylum seeker to that State.,-10.759588241577148,20
0,490,56_chunk000,Asylum Definition And Assessment,The applicants were two Albanian asylum seekers who challenged the decision of the Refugee Appeals Tribunal upholding the decision of the Office of the Refugee Applications Commissioner that the United Kingdom was the member state responsible for determining their applications for asylum.,-10.783811569213867,21
0,169,970_chunk000,Asylum Definition And Assessment,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by the MO MoI SR):,-10.8605375289917,22
0,180,974_chunk000,Asylum Definition And Assessment,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by the MO MoI SR):,-10.8605375289917,23
0,366,512_chunk001,Asylum Definition And Assessment,"An asylum seeker from Afghanistan had been expelled and issued with a five year entry ban to Norway in 2012, due to not leaving the country...",-10.871639251708984,24
0,152,1648_chunk001,Asylum Definition And Assessment,"On 17 November 2011, the Federal Asylum Office rejected again the application, after having found also that the applicant was from Nigeria and ordered the return....",-10.90141773223877,25
0,434,170_chunk000,Asylum Definition And Assessment,Administrative Court Düsseldorf The plaintiff is an asylum seeker and claims to be from Bangladesh.,-10.92948055267334,26
0,197,961_chunk000,Asylum Definition And Assessment,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by MO MoI SR):,-10.963338851928711,27
0,211,967_chunk000,Asylum Definition And Assessment,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by MO MoI SR):,-10.963338851928711,28
0,220,964_chunk000,Asylum Definition And Assessment,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by MO MoI SR):,-10.963338851928711,29
