qid,query,docno,docid,score,rank,text
0,Asylum Definition And Assessment,148_chunk000,523,0.7171461,0,The case concerns “sur place” asylum claims.
0,Asylum Definition And Assessment,108_chunk001,393,0.6638359,1,The applicant subsequently lodged a request for his asylum application to be reconsidered followed by an application for temporary admission on...
0,Asylum Definition And Assessment,4036_chunk000,38,0.65053236,2,The case concerned an application for asylum submitted by an applicant from Iraq and for which the Finnish Immigration Service considered that he had a well-founded fear of persecution based on religious grounds but excluded him from protection for alleged commission of a serious non-political crime.
0,Asylum Definition And Assessment,23_chunk000,454,0.64339334,3,"The Finnish Immigration Service had rejected A 's application for asylum and residence permit on the basis of the conflict between A and his father' s claims for asylum. Although the father's report has thus affected A's case, he or she has not been given the opportunity to give an explanation of the report and contradictions that it has in relation to his or her report."
0,Asylum Definition And Assessment,4231_chunk000,34,0.6418836,4,"The case concerned the question whether the State Secretary had correctly established the date from which the applicant benefits of asylum, how to establish the date of application."
0,Asylum Definition And Assessment,510_chunk000,385,0.64086246,5,"The Court of Sessions found there was no unlawful discrimination arising from a reduction in the amount of asylum support payable to asylum seekers with one or more dependent children, following a government review. ..."
0,Asylum Definition And Assessment,951_chunk000,188,0.63913465,6,The case concerns the risk situation in case of return to the country of origin as well as fear of persecution by the Taliban forces.
0,Asylum Definition And Assessment,4235_chunk000,44,0.6388079,7,"The case concerned two Iranian applicant, a father and his minor child, who entered the Röszke transit zone and applied for asylum on 5 December 2018. The asylum authority rejected the application as inadmissible and considered that Serbia was a safe third country where the applicants should have requested asylum. The decision was confirmed in court."
0,Asylum Definition And Assessment,1564_chunk000,203,0.6383827,8,HA applied for asylum in May 2015 alleging that he is registered with UNRWA and that upon return to Gaza he is at risk of being killed or subjected to inhuman or degrading treatment.
0,Asylum Definition And Assessment,5890_chunk000,6,0.6383408,9,"Six Iraqi nationals, a family of two parents and their four minor children, entered the Hungarian transit zone bordering Serbia on 10 July 2018 and submitted an asylum application. On the same day, the asylum authority designated the transit zone in Tompa as the applicants' place of stay."
0,Asylum Definition And Assessment,643_chunk000,388,0.63661915,10,As per the published press release: The Council of State validates the criteria to be met by a new asylum application to be admissible.
0,Asylum Definition And Assessment,633_chunk000,357,0.6357251,11,"The legal question concerned a situation in which the applicant (a third country national) claimed asylum based on events that had happened in another EU MS in which the applicant had lived and towards which the Dublin Regulation was applicable. In the current case, a Nigerian national claimed she was in danger of persecution and serious harm in Spain due to her ex-husband."
0,Asylum Definition And Assessment,925_chunk000,226,0.63414466,12,"Healthy refugees who are fit for work are not currently exposed to a ""real risk"" of inhuman or degrading treatment in Bulgaria within the meaning of Article 4 of the Charter of Fundamental Rights of the European Union, either at the time of their return, during the asylum procedure, or indeed after the presumed granting of international protection, irrespective of their wishes and personal choices"
0,Asylum Definition And Assessment,4037_chunk000,48,0.6334413,13,"The case concerned the cassation appeal submitted by H.A., Syrian national, against the negative decision on his asylum application issued by the State Agency for Refugees."
0,Asylum Definition And Assessment,2508_chunk001,135,0.6331986,14,On 13 July 2018 the Federal Office and Foreigners Registration Office was informed that the applicant resided in a church asylum since 12 July 2018. By letter of...
0,Asylum Definition And Assessment,56_chunk000,490,0.62873346,15,The applicants were two Albanian asylum seekers who challenged the decision of the Refugee Appeals Tribunal upholding the decision of the Office of the Refugee Applications Commissioner that the United Kingdom was the member state responsible for determining their applications for asylum.
0,Asylum Definition And Assessment,563_chunk000,348,0.6269099,16,"The case concerns the moment at which an asylum application is lodged, in particular with regard to a subsequent asylum application. This moment is important for the entitlement to reception by the foreign national."
0,Asylum Definition And Assessment,108_chunk000,392,0.62589693,17,According the ECHR's Information Note 213 (December 2017): The applicant entered Switzerland in 2009 and applied for asylum on the grounds that he had been imprisoned and tortured in his country of origin (Iran) after taking part in a demonstration there. His application was rejected after the Swiss authorities found that his account was not credible.
0,Asylum Definition And Assessment,550_chunk000,367,0.6253084,18,"The case involved an asylum seeker upon whom detention was imposed as a measure to ensure a Dublin procedure. The asylum seeker lodged a complaint against a decision that had been issued based on Art. 5 of the Asylum Act 2005, rejecting the application as inadmissible."
0,Asylum Definition And Assessment,178_chunk000,460,0.6251545,19,"The Court gave guidance on the general approach to be adopted in law and practice by the First-tier Tribunal and Upper Tribunal where claims for asylum were made by children, young people, and other incapacitated or vulnerable persons whose ability to participate effectively in proceedings might be limited."
0,Asylum Definition And Assessment,562_chunk001,347,0.62353814,20,"This moment is important for the commencement date of the temporary asylum residence permit granted to the foreign national.

By decision..."
0,Asylum Definition And Assessment,590_chunk000,350,0.6227236,21,"In an urgent action for the «granting of asylum or of a residence permit for subsidiary protection» the use of «official international reports on the political and social situation of the applicant's country of origin», by the court of appeal is not in breach of Articles 412 and 662 of the Civil Procedure Code.

..."
0,Asylum Definition And Assessment,931_chunk000,240,0.62186617,22,"Pursuant to Art. 4a of the Asylum Act 2005, an application for international protection is to be rejected as inadmissible where the foreign person has been granted asylum or subsidiary protection status in another EEA Member State or Switzerland. In the specific case, the appellant, a Syrian citizen, filed an application for international protection in April 2018."
0,Asylum Definition And Assessment,608_chunk000,344,0.62139726,23,"Three country nationals, C, J, and S, had their applications for international protection rejected in the Netherlands and were detained with a view to preparing their return. C's application for international protection was rejected on 11 April 2017, and C was detained on 13 April."
0,Asylum Definition And Assessment,3286_chunk001,123,0.61990047,24,"The Supreme Court confirmed that the application for international protection implies the suspension of the removal procedure for irregular stay that could affect the applicant, until the Administration issues an initial decision..."
0,Asylum Definition And Assessment,512_chunk000,365,0.61905545,25,"The Supreme Court ruled that Article 31 of the 1951 Geneva Convention (stating no penalties for illegal entry if refugees arrive directly from a country where there are threats to their life or freedom, and they present themselves for the authorities without delay) did not preclude that an asylum seeker could be convicted for violation of an entry ban."
0,Asylum Definition And Assessment,3924_chunk001,61,0.61721534,26,"The applicant, a Palestinian national arrived in Cyprus via the occupied territories and was detained pursuant to the Aliens and Immigration Law and a deportation order was issued. He applied for asylum but was granted a supplementary protection status..."
0,Asylum Definition And Assessment,937_chunk001,164,0.61666477,27,A decision moratorium means that the period within which asylum applications from Libyan foreign nationals must be processed by the state secretary is extended. This decision is important for all...
0,Asylum Definition And Assessment,584_chunk000,297,0.615602,28,"The applicant sought judicial review of the decision to refuse him asylum in Ireland, which he had applied for on the basis of fear of persecution due to issues with the Taliban and Lashkar-e-Islam. The applicant had tactically not applied for asylum in another Member State, which was a factor the decision maker was permitted to take into consideration."
0,Asylum Definition And Assessment,3272_chunk001,117,0.61450297,29,"The case concerned the accused monk B., who granted church asylum to A., from the Gaza strip, on 25 August 2020 and provided him accommodation and care with the knowledge that A. was a rejected asylum applicant.

A. applied for asylum on 22 April..."
0,Asylum Definition And Assessment,130_chunk000,468,0.6142961,30,The Council ruled that to be able to transfer an applicant to another member state the administrative authority must obtain the consent of the State responsible for examining the asylum application before it can take a decision to transfer the asylum seeker to that State.
0,Asylum Definition And Assessment,171_chunk000,534,0.6136259,31,The Upper Tribunal had been justified in rejecting an asylum seeker's account that scarring on his body had been caused by torture administered by the Sri Lankan authorities and in inferring that it was self-inflicted.
0,Asylum Definition And Assessment,625_chunk001,567,0.61260194,32,No appeal is possible against these judgments. Background: Both aliens initially applied for asylum in Hungary. They then applied for...
0,Asylum Definition And Assessment,573_chunk001,360,0.61085594,33,"By judgment of 7 August 2017, the court dismissed the appeal lodged by the alien, in so far as it was directed against the rejection of the asylum application, as inadmissible, and dismissed his..."
0,Asylum Definition And Assessment,54_chunk001,500,0.6101923,34,"Pending the determination of an application for refugee status, applicants are required to live in State provided accommodation known as direct provision, and provided in..."
