qid,query
-1,Outliers
0,Credibility Assessment Definitions
1,Canadian Appellant Return Cases
2,Witness Credibility Assessment
3,Refugee Protection Claims Analysis
4,Irpa Section Definitions
5,Counsel Time Limits & Procedures
6,Appellants’ Family Relationships
7,Applicant-Appellant Relationship
8,Identity Verification And Claims
9,Marriage And Relationship Disputes
10,State Protection Definition
11,Birth Certificate And Family Records
12,Canadian Immigration Applicant Intentions
13,Perceived Past Behavior & Plausibility
14,Appellant’s China Travel History
15,Perceived Past Behavior & Plausibility
16,Perceived Past Behavior & Plausibility
17,Immigration Appeal Definitions
18,Credibility Assessment & Definition
19,Family Class Definitions & Sponsorship
20,Negative Inference And Credibility
21,Appeal Outcome Analysis
22,Immigration And Refugee Protection
23,Perceived Past Behavior Plausibility
24,Appellants’ Income And Employment History
25,Sentiment And Credibility Assessment
26,Legal Counsel Definitions
27,Sentiment And Credibility Assessment
28,Roma Discrimination and Racial Issues
29,Wedding Planning Timeline & Details
30,Shia Islam Violence In Pakistan
31,Parties in Legal Cases
32,New Evidence Definitions
33,Defining Plausibility Concepts
34,Credibility Assessment & Definition
35,el salvador military atrocities
36,Stay Order Conditions & Removal
37,Sentiment And Credibility Definition
38,Police Misconduct And Threats
39,Panel Assessment And Credibility
40,Permanent Resident Status Definition
41,Rad-Rpd Redetermination Process
42,Mexican Government Corruption Investigations
43,Residency Obligation Definition
44,Testimony Inconsistencies Cluster
45,Immigration Marriage Purposes
46,Perceived Past Behavior & Plausibility
47,Criminality And Sentencing Matters
48,Appellant Credibility Evaluation
49,Rad Appeals Definition & Process
50,Perceived Past Event Plausibility
51,Rpd credibility and assessments
52,Appellant’s Evidence and RPD Review
53,Special Relief Considerations
54,Best Interests Of A Child
55,Child Adoption Processes And Regulations
56,Balance Of Probabilities
57,Immigration Judicial Review Decisions
58,Credibility Assessment Definitions
59,Appeal Process Definitions
60,Palpable And Overriding Error
61,Substance Use & Criminal Justice
62,Marriage Genuineness Assessment
63,Sponsorship Definitions And Concepts
64,Applicant Work History & Background
65,Immigration Appeal Division Definition
66,Lgbttq Sexual Orientation Issues
67,Judicial Hearings And Authority
68,Perceived Past Behavior & Plausibility
69,Immigration Judicial Review Decisions
70,Misrepresentation And Inadmissibility Definition
71,IFA Assessment and Definition
72,Canada Border Services Agency
73,Perceived Past Behaviour Plausibility
74,Asylum Plausibility Assessments
75,Credibility And Sentiment Assessment
76,Systemic Political Persecution
77,Case Information Retrieval
78,Proposal Disagreement & Withdrawal
79,Immigration Judicial Review
80,Pakistan Return And Family Matters
81,Perceived Past Behavior & Plausibility
82,Credibility Assessment Definition
83,Perceived Past Behavior & Plausibility
84,Assessing Relationship Qualities
85,Psychological Assessment And Reactions
86,ogboni fraternity influence nigeria
87,Hybrid Appeal Definition & Assessment
88,Credibility And Sentiment Assessment
89,Visa Refusal Information
90,Hindu Marriage Under IRPA
91,Haitian-Brazilian Permanent Resident Rights
92,Natural Justice And Fairness
93,Perceived Past Behavior & Plausibility
94,visa officer marriage concerns
95,Sai Iad File And Client IDs
96,Credibility Assessment Definition
97,Citizenship Immigration Legal Cases
98,Canadian Permanent Resident Requirements
99,Primary Purpose Assessment Criteria
100,Torture And Cruel Treatment
101,Irbs And Translation Request Guidance
102,Appellant Citizenship Status Inquiry
103,Marriage Panel Assessment
104,Credibility Assessment Definition
105,Sentiment And Credibility Assessment
106,Ministerial Representation And Counsel
107,Hearing Summary & Details
108,Refugee Appeal Division Definitions
109,Rad Role And Responsibilities
110,Immigration Appeal Division Definition
111,Exhibit References Listing
112,Appeal Dismissal Definitions
113,visa officer concerns
114,Defining Technical Terms & Concepts
115,Form Completion & Application Issues
116,Parent-Child Relationships Definition
117,Permanent Resident Sponsorship Requirements
118,Crimes Against Humanity And War
119,"Credibility, Sentiment, And Assessment"
120,Rad File Documentation & Inquiry
121,Removal Order Validity Concerns
122,Rpd Definition And Support
123,Serious Possibility Of Persecution
124,Removal Order Definition
125,Dependent Child Definitions
126,Deportation Appeal Considerations
127,Plausibility And Credibility Definition
128,israeli military intelligence involvement
129,1951 Refugee Convention Definition
130,Marriage genuineness verification
131,minister citizenship hearing dates
132,Canadian Family Reunification Process
133,Burden Of Proof Concept
134,Semantic Passage Content Analysis
135,Permanent Resident Visa Appeals
136,Humanitarian And Compassionate Appeals
137,Jamaica Travel Discrepancy
138,Removal Order Appeals Definition
139,Somali Clan and Yibr Culture
140,Deference In Credibility Assessment
141,Refugee Appeal Division Role
142,Legal Interpretation And Amendments
143,Seeking Protection in Mexico
144,Refugee Status Determination Handbook
145,Dismissal And Appeal Definitions
146,India Return Travel Queries
147,Special Relief Definitions
148,Residency Compliance & Obligations
149,Chalatenango Stabbing Incident Description
150,Pri Party Investigation Story
151,Rpd Record Definitions
152,Canadian Return And Arrival
153,applicant age and demographics
154,Residency Obligation Compliance Issues
155,Visa Officer Decision Validity
156,Residency Non-Compliance Obligations
157,Humanitarian Immigration Appeals
158,Contextual Credibility Assessment
159,Special Relief Considerations
160,Humanitarian residency considerations
161,Conjugal Relationships Definition
162,Sponsorship Appeal Definitions
163,Colombia Human Rights 2009
164,Refugee Protection Appeals and Claims
165,Res Judicata Definition And Principle
166,Panel Tribunals And Designations
167,Irpa Status And Acquisition
168,Irpa Marriage Appeal Requirements
169,Designated Representative Roles
170,Hardship Related To Removal From Canada
171,Employment And Institute History
172,Historical Narrative Credibility Assessment
173,Immigration Residency Obligations
174,Phone Calls And Conversations
175,Visa Refusal Definitions
176,Permanent Resident Application Refusals
177,Vulnerable Person Procedure Guidelines
178,Humanitarian and Compassionate Grounds
179,Prospective Risk Assessment
180,Legal Appeal & Dismissal Process
181,Disclosure Of Criminal Records
182,Undue Hardship Definition
183,Case Factor Analysis
184,Judicial Review Definition
185,Res Judicata Legal Principle
186,Credibility And Sentiment Assessment
187,Mental Health & Medical History
188,Legal Counsel & Ministerial Representation
189,Immigration Fraud And Disclosure
190,De Novo Hearing Definitions
191,Eritrean Passport and Citizenship
192,Djibouti Returnee Economic Concerns
193,Zimbabwean Migration and Appeals
194,Work Permit And LMIA Applications
195,Evidence Under Section 110
196,Appellant Background Summary
197,Passport And Travel Document Requests
198,Trv Application And Refusals
199,Rehabilitation Definition And Assessment
200,Vietnam Trip Inquiry 2006
201,Decision-Making And Information Analysis
202,Indian Citizenship Deprivation
203,Seeking Protection Steps
204,Rpd Hearing Transcript Cluster
205,Female Genital Mutilation Concerns
206,Understanding Plausibility's Meaning
207,Humanitarian Compassion & Considerations
208,Domestic Arrests And Family Issues
209,Employee Termination and Management
210,Tribunal Counsel Roles Definition
211,Budisukma Puncak Court Decisions
212,Non-accompanying family member provision
213,Legal Validity And Ambiguity
214,Tribunal Definitions And Procedures
215,Subjective Fear And Appellants
216,Refugee Claim Timeline & Process
217,Well-Founded Fear Of Persecution
218,Lahore Risk Assessment & Persecution
219,Internal Flight Alternatives & Romania
220,Final Reconsideration Process
221,Documentary Evidence Cluster
222,Rpd File Number Definition
223,Letter Discrepancies And Intentions
224,Appellant-Applicant Relationship Timeline
225,Canlii Irb Case Definitions
226,escape and accomplice movements
227,Affidavits And Notarization Processes
228,Discretionary Relief Definitions
229,Sibling Relationships And Schemes
