qid,docid,docno,rank,score,query,text
104,3713,syri20264_chunk007,0,11.016775334662386,Asylvurdering Ved Flygtningenævnet,"1 og 2[:] Flygtningenævnet finder, at der i lyset af det regimeskifte, som har fundet sted i Syrien, ikke længere er grundlag for generelt at anvende et forsigtighedsprincip i forbindelse med asylvurderingen af syriske statsborgere fra Rif Damaskus."
104,3893,syri20265_chunk006,1,11.016775334662386,Asylvurdering Ved Flygtningenævnet,"1 og 2[:] Flygtningenævnet finder, at der i lyset af det regimeskifte, som har fundet sted i Syrien, ikke længere er grundlag for generelt at anvende et forsigtighedsprincip i forbindelse med asylvurderingen af syriske statsborgere fra Rif Damaskus."
104,1915,dub-rumae20264_chunk014,2,10.44183934291188,Asylvurdering Ved Flygtningenævnet,"Klageren er meddelt endelig afslag på asyl i Rumænien, hvorfor han har pligt til at forlade landet. Rumænien må således i forbindelse med deres asylbehandling forventes at have forholdt sig til klagerens eventuelle særlige sårbarhed, i det omfang det har haft betydning for asylvurderingen."
104,519,syri202614_chunk014,3,9.637140841369213,Asylvurdering Ved Flygtningenævnet,"Flygtningenævnet bemærker tillige, at i lyset af det regimeskifte, som har fundet sted i Syrien, finder Flygtningenævnet ikke længere er grundlag for generelt at anvende et forsigtighedsprincip i forbindelse med asylvurderingen af syriske statsborgere. Endelig bemærker Flygtningenævnet, at mangel på arbejde er socioøkonomiske forhold, der ikke er asylbegrundende."
104,652,syri202614_chunk014_dup1,4,9.637140841369213,Asylvurdering Ved Flygtningenævnet,"Flygtningenævnet bemærker tillige, at i lyset af det regimeskifte, som har fundet sted i Syrien, finder Flygtningenævnet ikke længere er grundlag for generelt at anvende et forsigtighedsprincip i forbindelse med asylvurderingen af syriske statsborgere. Endelig bemærker Flygtningenævnet, at mangel på arbejde er socioøkonomiske forhold, der ikke er asylbegrundende."
104,440,ugan202617_chunk015,5,3.9364554589252396,Asylvurdering Ved Flygtningenævnet,"Senere under samme samtale har ansøgeren derimod forklaret, at han først kom til bevidsthed ved klinikken, og under nævnsmødet har han forklaret, at han ikke ved, hvem, der satte ham af ved klinikken. Derudover har nævnet lagt vægt på, at han under asylsamtalen har forklaret divergerende om omstændighederne ved sin tilbageholdelse og de 4 personers påklædning."
104,4762,paki20261_chunk001,6,3.8650749264184667,Asylvurdering Ved Flygtningenævnet,"Ansøgeren har som asylmotiv henvist til, at hun ved en tilbagevenden til Pakistan frygter at blive slået ihjel af en mand ved navn [A]."
104,628,syri202617_chunk026,7,3.7752216306459396,Asylvurdering Ved Flygtningenævnet,"Dette gælder tillige militærunddragere og desertører, der ved indrejse kan henvende sig til myndighederne med henblik på at få fjernet en eventuel registrering ved deres navn."
104,2453,afgh202610_chunk015,8,3.7420792647579373,Asylvurdering Ved Flygtningenævnet,"ig Talibans opmærksomhed ved en tilbagevenden til Afghanistan.

Ved denne vurdering indgår en række forskellige faktorer, herunder klagerens udseende, sprogkundskaber, religiøse og kulturelle holdninger og handlinger, længden af hans ophold i Danmark, klagerens alder ved indrejsen i Danmark samt hans kendskab til afghansk kultur og levevis."
104,677,syri202616_chunk003,9,3.717604971133773,Asylvurdering Ved Flygtningenævnet,"Ansøgeren har videre henvist til, at hun ved en tilbagevenden til Syrien frygter sin boligsituation henset til, at familiens hus er blevet ødelagt ved bombardementer i løbet af krigen."
