qid,query,docno,docid,score,rank,text
0,Applicant Detention and Asylum Claims,50_chunk001,405,0.876916,0,"The Municipal Court found out that the applicant during his detention lodged the application for international protection, he was re-detained under the provisions of the Act on Asylum implementing Art. 8(3)(d) of the Recast Reception Directive and for this reason his original..."
0,Applicant Detention and Asylum Claims,550_chunk001,368,0.8753897,1,"The Federal Administrative Court subsequently denied the complaint, whereupon the asylum seeker lodged a complaint against detention. The court proceedings dealing with the individual's detention addressed the question of..."
0,Applicant Detention and Asylum Claims,550_chunk000,367,0.863007,2,"The case involved an asylum seeker upon whom detention was imposed as a measure to ensure a Dublin procedure. The asylum seeker lodged a complaint against a decision that had been issued based on Art. 5 of the Asylum Act 2005, rejecting the application as inadmissible."
0,Applicant Detention and Asylum Claims,942_chunk000,225,0.8621359,3,"The case concerns the possibility of detention when the asylum application is rejected but the time frame to submit an appeal has not expired. The judgments in Gnandi and the order in C., J. and S. do not envisage that the..."
0,Applicant Detention and Asylum Claims,923_chunk000,264,0.8606367,4,An applicant must submit a request for protection with which he asserts target-country-related dangers that are objectively suitable in their nature for recognition as a person entitled to asylum or an award for international protection (material asylum request within the meaning of Section 13 (1) Asylum Act) refer the asylum procedure to the Federal Office.
0,Applicant Detention and Asylum Claims,1011_chunk000,256,0.8595012,5,"The case concerns a challenge to detention under the recast Reception Conditions Directive. The applicant requested international protection after being found illegally working in the Czech Republic and using fake documents to obtain such work.

..."
0,Applicant Detention and Asylum Claims,1091_chunk001,195,0.85652095,6,"The applicant was arrested on 6 June 2019 in execution of a detention order that had since been issued and, after being questioned, received a notification from the Federal Office for Foreign Affairs and Asylum (BFA) on the same day on detention pending deportation. During detention pending..."
0,Applicant Detention and Asylum Claims,49_chunk001,479,0.85374486,7,"The applicant was therefore detained for the purpose of her removal by the Police of the Czech Republic under the provisions of the Act on the Residence of Foreigners implementing Art. 15 of the Returns Directive. In the detention, the applicant lodged an application for..."
0,Applicant Detention and Asylum Claims,3924_chunk001,61,0.853408,8,"The applicant, a Palestinian national arrived in Cyprus via the occupied territories and was detained pursuant to the Aliens and Immigration Law and a deportation order was issued. He applied for asylum but was granted a supplementary protection status..."
0,Applicant Detention and Asylum Claims,913_chunk001,179,0.85226715,9,"The Swedish Migration Court of Appeal referred to Article 15 (5) and (6) of the Return Directive as well as to the relevant provisions of the Swedish law and it held that within the same enforcement of a removal decision, an applicant can be held in detention for a maximum of..."
0,Applicant Detention and Asylum Claims,577_chunk000,314,0.85028243,10,"This case concerns the validity of asylum application in accordance with § 29 para. 1 no. 5 i. V. m. Section 71a (1) Asylum Act, in accordance with Section 31 (3) Sentence 1 AsylG. It also refers to the examination of a prohibition on removal according to § 60 Abs. 5 AufenthG i. V. m."
