qid,query,docno,docid,score,rank,text
0,Asylum Definition And Assessment,923_chunk000,264,0.8529748,0,An applicant must submit a request for protection with which he asserts target-country-related dangers that are objectively suitable in their nature for recognition as a person entitled to asylum or an award for international protection (material asylum request within the meaning of Section 13 (1) Asylum Act) refer the asylum procedure to the Federal Office.
0,Asylum Definition And Assessment,577_chunk000,314,0.84713864,1,"This case concerns the validity of asylum application in accordance with § 29 para. 1 no. 5 i. V. m. Section 71a (1) Asylum Act, in accordance with Section 31 (3) Sentence 1 AsylG. It also refers to the examination of a prohibition on removal according to § 60 Abs. 5 AufenthG i. V. m."
0,Asylum Definition And Assessment,563_chunk000,348,0.83610606,2,"The case concerns the moment at which an asylum application is lodged, in particular with regard to a subsequent asylum application. This moment is important for the entitlement to reception by the foreign national."
0,Asylum Definition And Assessment,4705_chunk000,446,0.8350892,3,"Judgment concerning the freedom of movement of asylum seekers in Ceuta and Melilla, although his application for international protection was admitted for examination.

..."
0,Asylum Definition And Assessment,643_chunk000,388,0.83214235,4,As per the published press release: The Council of State validates the criteria to be met by a new asylum application to be admissible.
0,Asylum Definition And Assessment,978_chunk001,208,0.83211994,5,The Court of Cassation is of the opinion that in the plaintiff's case defining conceptual elements of a social group were not accomplished as stipulated in the provision of Art. 19a par. 4 (c) of the Act on Asylum. Performance of a work activity by a plaintiff or his education and qualifications do not...
0,Asylum Definition And Assessment,590_chunk000,350,0.8307829,6,"In an urgent action for the «granting of asylum or of a residence permit for subsidiary protection» the use of «official international reports on the political and social situation of the applicant's country of origin», by the court of appeal is not in breach of Articles 412 and 662 of the Civil Procedure Code.

..."
0,Asylum Definition And Assessment,938_chunk000,199,0.8253083,7,IThe foreign national has submitted a subsequent asylum application. The decision on that application was taken on behalf of the State Secretary by the employee of the Immigration and Naturalization Service (hereinafter: the IND) who heard the alien and also issued the intention.
0,Asylum Definition And Assessment,964_chunk001,221,0.82498956,8,"The line of reasoning of the defendant who claims that the plaintiff had a legal representative present during the hearing who, unlike the plaintiff, is well versed in the law, could not hold, since the examination of the asylum seeker in the court proceedings represents one of the most important..."
0,Asylum Definition And Assessment,3277_chunk001,119,0.8249739,9,"When the asylum procedure starts, applicants are usually assigned a lawyer through the Legal Aid Board. The applicant claimed that he received the contested..."
