qid,query,docno,docid,score,rank,text
0,Applicant Detention and Asylum Claims,148_chunk000,523,0.78886545,0,The case concerns “sur place” asylum claims.
0,Applicant Detention and Asylum Claims,108_chunk001,393,0.7464812,1,The applicant subsequently lodged a request for his asylum application to be reconsidered followed by an application for temporary admission on...
0,Applicant Detention and Asylum Claims,3968_chunk000,74,0.7068977,2,The case concerned an applicant from Pakistan who applied unsuccessfully for asylum in 2012 and return was ordered. He applied for reconsideration which was assessed as subsequent application which was rejected and again an expulsion order was adopted. An appeal was again rejected.
0,Applicant Detention and Asylum Claims,4150_chunk000,68,0.7027031,3,The case concerned an applicant from Morocco who alleged to have fled from his country due to fear for his life. He arrived in Milan and tried since December 2022 to access the Milan Police Headquarters in order to formalise his application for international protection.
0,Applicant Detention and Asylum Claims,957_chunk001,172,0.7019203,4,"The appellant claimed her stalker enjoyed political influence and/or protection in Albania so her complaints to the police were not effective, and therefore she fled Albania and claimed asylum in Ireland."
0,Applicant Detention and Asylum Claims,4233_chunk001,43,0.700293,5,The applicant complained of the legality of the administrative detention and of the procedural issues related to this...
0,Applicant Detention and Asylum Claims,608_chunk000,344,0.6998801,6,"Three country nationals, C, J, and S, had their applications for international protection rejected in the Netherlands and were detained with a view to preparing their return. C's application for international protection was rejected on 11 April 2017, and C was detained on 13 April."
0,Applicant Detention and Asylum Claims,633_chunk000,357,0.6977526,7,"The legal question concerned a situation in which the applicant (a third country national) claimed asylum based on events that had happened in another EU MS in which the applicant had lived and towards which the Dublin Regulation was applicable. In the current case, a Nigerian national claimed she was in danger of persecution and serious harm in Spain due to her ex-husband."
0,Applicant Detention and Asylum Claims,2505_chunk000,141,0.6871248,8,"The applicant, national of Mali, applied for international protection in Germany but based on EURODAC findings his application was rejected as inadmissible as Italy was responsible to process his application."
0,Applicant Detention and Asylum Claims,4233_chunk000,42,0.686714,9,"The case concerned an applicant from Iraq, D.S., who was residing in Samos Greece and complained of the living conditions during the administrative detention in the police office of Sidirokastro, the PROKEKA (detention center for foreigners pending expulsion) in Tavros and the Samos camp, as well as for an alleged lack of an effective remedy to contest the abovementioned."
0,Applicant Detention and Asylum Claims,584_chunk000,297,0.6851165,10,"The applicant sought judicial review of the decision to refuse him asylum in Ireland, which he had applied for on the basis of fear of persecution due to issues with the Taliban and Lashkar-e-Islam. The applicant had tactically not applied for asylum in another Member State, which was a factor the decision maker was permitted to take into consideration."
0,Applicant Detention and Asylum Claims,4036_chunk000,38,0.6801156,11,The case concerned an application for asylum submitted by an applicant from Iraq and for which the Finnish Immigration Service considered that he had a well-founded fear of persecution based on religious grounds but excluded him from protection for alleged commission of a serious non-political crime.
0,Applicant Detention and Asylum Claims,1091_chunk000,194,0.6790019,12,"The case concerns a Nigerian applicant who made unsuccessful applications for international protection in April 2015, January 2017 and May 2018, and decisions to return him were issued."
0,Applicant Detention and Asylum Claims,1648_chunk000,151,0.6767247,13,"The applicant applied for international protection on 13 January 2010, claiming to be a minor from Zimbabwe and by decision of 29 September 2010 the Federal Office for Asylum rejected the application as unfounded. Upon appeal, the Court of Asylum referred the matter back to the Federal Asylum Office for a new hearing and assessment."
0,Applicant Detention and Asylum Claims,981_chunk000,167,0.67580163,14,The applicant is a Palestinian stateless from the Gaza strip and applied for international protection in Belgium. His application was rejected but he was granted subsidiary protection.
0,Applicant Detention and Asylum Claims,198_chunk000,474,0.6756974,15,The applicant had previously applied for asylum in the UK. He appealed unsuccessfully to the Tribunal the decision of the Refugee Applications Commissioner that he be transferred to the UK under Dublin III.
