qid,docno,label
0,1091_chunk001,4
0,550_chunk001,2
0,183_chunk000,4
0,689_chunk000,5
0,913_chunk000,4
0,148_chunk000,4
0,942_chunk000,4
0,170_chunk000,4
0,957_chunk001,4
0,4233_chunk001,4
0,5443_chunk000,4
0,550_chunk000,4
0,186_chunk000,4
0,947_chunk001,4
0,50_chunk001,4
0,4233_chunk000,4
0,55_chunk001,4
0,142_chunk001,4
0,3277_chunk001,4
0,150_chunk001,4
0,56_chunk001,4
0,130_chunk001,4
0,50_chunk000,4
0,633_chunk000,4
0,608_chunk001,4
0,3981_chunk000,5
0,964_chunk001,2
0,23_chunk000,4
0,49_chunk001,4
0,583_chunk000,4
0,506_chunk000,4
0,1011_chunk000,4
0,1648_chunk000,4
0,5889_chunk001,4
0,200_chunk000,4
0,197_chunk000,4
0,913_chunk001,4
0,88_chunk000,4
0,178_chunk000,4
0,36_chunk001,4
0,3321_chunk001,2
0,68_chunk000,4
0,1010_chunk000,4
0,3265_chunk001,1
0,178_chunk001,4
0,175_chunk001,4
0,654_chunk000,4
0,173_chunk000,4
0,1647_chunk000,4
0,201_chunk000,4
0,24_chunk000,4
0,55_chunk000,4
0,4992_chunk001,4
0,169_chunk000,4
0,506_chunk001,4
0,3239_chunk001,4
0,151_chunk000,4
0,151_chunk001,4
0,4729_chunk000,5
0,4999_chunk000,4
0,5761_chunk000,4
0,981_chunk001,4
0,920_chunk000,4
0,175_chunk000,4
0,1086_chunk000,4
0,945_chunk000,1
0,3240_chunk001,3
0,2471_chunk000,4
0,84_chunk000,5
0,6098_chunk000,4
0,3277_chunk000,4
0,4962_chunk000,4
0,3265_chunk000,2
0,995_chunk001,4
0,4998_chunk000,5
0,366_chunk000,4
0,3321_chunk000,4
0,646_chunk000,4
0,4997_chunk000,4
0,923_chunk000,4
0,510_chunk000,2
0,921_chunk001,4
0,3272_chunk001,4
0,4828_chunk001,4
0,993_chunk000,4
0,992_chunk000,4
0,991_chunk000,4
0,979_chunk000,4
0,997_chunk000,4
0,972_chunk000,4
0,983_chunk000,4
0,998_chunk000,4
0,995_chunk000,4
0,994_chunk000,4
0,988_chunk000,4
0,989_chunk000,4
0,990_chunk000,4
0,986_chunk000,4
0,987_chunk000,4
0,985_chunk000,4
1,993_chunk000,5
1,992_chunk000,5
1,991_chunk000,5
1,979_chunk000,5
1,997_chunk000,5
1,972_chunk000,5
1,983_chunk000,5
1,998_chunk000,5
1,995_chunk000,5
1,994_chunk000,5
1,988_chunk000,5
1,989_chunk000,5
1,990_chunk000,5
1,986_chunk000,5
1,987_chunk000,5
1,985_chunk000,5
1,984_chunk000,5
1,970_chunk000,4
1,974_chunk000,4
1,976_chunk000,4
1,961_chunk000,4
1,978_chunk000,4
1,967_chunk000,4
1,964_chunk000,4
1,980_chunk000,4
1,23_chunk000,4
1,996_chunk000,4
1,3963_chunk001,4
1,937_chunk000,4
1,119_chunk001,2
1,589_chunk000,4
1,1705_chunk001,4
1,590_chunk000,2
1,1091_chunk001,1
1,2510_chunk000,2
1,3137_chunk000,4
1,5443_chunk001,4
1,1086_chunk001,2
1,3286_chunk000,1
1,983_chunk001,2
1,3166_chunk000,2
1,2471_chunk000,4
1,933_chunk000,2
1,4728_chunk000,2
1,2506_chunk000,2
1,2509_chunk000,2
1,1012_chunk000,4
1,1084_chunk000,2
1,52_chunk000,1
1,923_chunk000,4
1,3272_chunk001,2
1,562_chunk000,4
1,550_chunk000,2
1,563_chunk000,4
1,510_chunk000,2
1,56_chunk001,1
1,921_chunk001,2
1,148_chunk000,2
1,914_chunk000,4
1,1648_chunk000,2
1,186_chunk000,2
1,4235_chunk000,2
1,34_chunk000,1
1,4828_chunk001,2
1,170_chunk000,2
1,130_chunk000,4
1,209_chunk000,4
1,196_chunk000,4
1,56_chunk000,2
1,183_chunk000,1
1,141_chunk001,2
1,954_chunk000,4
1,625_chunk001,4
1,22_chunk000,2
1,45_chunk000,2
1,35_chunk000,2
1,5890_chunk000,2
1,3137_chunk001,1
1,931_chunk001,2
1,108_chunk001,2
1,55_chunk001,4
1,4164_chunk000,2
1,584_chunk000,2
1,3276_chunk001,4
1,3277_chunk001,2
1,562_chunk001,2
1,643_chunk000,2
1,4705_chunk000,2
1,577_chunk000,4
1,1647_chunk001,2
1,1648_chunk001,1
1,512_chunk001,2
1,127_chunk000,4
1,931_chunk000,4
1,88_chunk000,2
1,170_chunk001,4
1,4231_chunk000,4
1,4184_chunk000,1
1,4164_chunk001,2
1,641_chunk000,2
2,993_chunk000,5
2,992_chunk000,5
2,991_chunk000,5
2,979_chunk000,5
2,997_chunk000,5
2,972_chunk000,5
2,983_chunk000,5
2,998_chunk000,5
2,995_chunk000,5
2,994_chunk000,5
2,988_chunk000,5
2,989_chunk000,5
2,990_chunk000,5
2,986_chunk000,5
2,987_chunk000,5
2,985_chunk000,5
2,984_chunk000,5
2,970_chunk000,5
2,974_chunk000,5
2,976_chunk000,5
2,961_chunk000,5
2,978_chunk000,5
2,967_chunk000,5
2,964_chunk000,5
2,980_chunk000,4
2,23_chunk000,4
2,996_chunk000,4
2,3963_chunk001,4
2,937_chunk000,4
2,119_chunk001,2
2,589_chunk000,4
2,1705_chunk001,4
2,590_chunk000,4
2,1091_chunk001,1
2,2510_chunk000,2
2,3137_chunk000,4
2,5443_chunk001,4
2,1086_chunk001,4
2,3286_chunk000,1
2,983_chunk001,2
2,3166_chunk000,4
2,2471_chunk000,4
2,933_chunk000,2
2,4728_chunk000,2
2,2506_chunk000,2
2,2509_chunk000,2
2,1012_chunk000,4
2,1084_chunk000,1
2,52_chunk000,1
2,923_chunk000,4
2,3272_chunk001,1
2,562_chunk000,5
2,550_chunk000,2
2,563_chunk000,4
2,510_chunk000,2
2,56_chunk001,1
2,921_chunk001,2
2,148_chunk000,4
2,914_chunk000,4
2,1648_chunk000,2
2,186_chunk000,2
2,4235_chunk000,4
2,34_chunk000,2
2,4828_chunk001,1
2,170_chunk000,2
2,130_chunk000,4
2,209_chunk000,4
2,196_chunk000,4
2,56_chunk000,2
2,183_chunk000,2
2,141_chunk001,2
2,954_chunk000,4
2,625_chunk001,4
2,22_chunk000,2
2,45_chunk000,2
2,35_chunk000,4
2,5890_chunk000,2
2,3137_chunk001,1
2,931_chunk001,2
2,108_chunk001,2
2,55_chunk001,4
2,4164_chunk000,2
2,584_chunk000,2
2,3276_chunk001,4
2,3277_chunk001,2
2,562_chunk001,2
2,643_chunk000,2
2,4705_chunk000,2
2,577_chunk000,4
2,1647_chunk001,2
2,1648_chunk001,1
2,512_chunk001,2
2,127_chunk000,4
2,931_chunk000,4
2,88_chunk000,2
2,170_chunk001,4
2,4231_chunk000,4
2,4184_chunk000,1
2,4164_chunk001,2
2,641_chunk000,2
0,3924_chunk001,4
0,577_chunk000,4
0,931_chunk000,4
0,56_chunk000,4
0,589_chunk000,4
0,4705_chunk000,2
0,563_chunk000,4
0,108_chunk001,4
0,54_chunk000,4
0,562_chunk000,4
0,608_chunk000,4
0,181_chunk001,4
0,4707_chunk000,2
0,108_chunk000,4
0,914_chunk001,4
0,590_chunk000,4
0,69_chunk000,4
0,547_chunk000,4
0,4184_chunk001,4
0,36_chunk000,4
0,57_chunk001,4
0,148_chunk001,5
0,938_chunk000,4
0,3286_chunk001,4
0,1088_chunk000,4
0,46_chunk001,2
0,640_chunk000,4
0,4231_chunk001,4
0,634_chunk001,4
0,2508_chunk001,4
0,197_chunk001,4
0,200_chunk001,4
0,914_chunk000,4
0,170_chunk001,4
0,51_chunk000,4
0,4231_chunk000,4
0,563_chunk001,2
0,955_chunk001,4
0,3406_chunk001,2
0,45_chunk000,4
0,3230_chunk000,4
0,196_chunk000,4
0,1573_chunk000,4
0,3409_chunk000,4
0,562_chunk001,2
0,22_chunk000,4
0,3137_chunk000,4
0,639_chunk000,4
0,643_chunk000,4
0,54_chunk001,4
0,218_chunk000,4
0,557_chunk000,4
0,209_chunk000,4
0,3275_chunk000,4
0,954_chunk001,2
0,1564_chunk000,5
0,643_chunk001,4
0,931_chunk001,4
0,3232_chunk001,4
0,4036_chunk000,4
0,584_chunk000,4
0,205_chunk000,4
0,582_chunk001,4
1,2508_chunk001,2
1,181_chunk001,4
1,5761_chunk001,2
1,3406_chunk001,2
1,4184_chunk001,2
1,943_chunk000,1
1,54_chunk000,4
1,108_chunk000,4
1,938_chunk000,2
1,61_chunk000,4
1,5889_chunk000,2
1,3981_chunk000,4
1,960_chunk001,2
1,633_chunk000,4
1,1087_chunk000,4
1,921_chunk000,4
1,3409_chunk000,4
1,926_chunk000,4
1,913_chunk001,4
1,563_chunk001,1
1,45_chunk001,2
1,4960_chunk001,2
1,36_chunk001,4
1,634_chunk001,2
1,256_chunk000,4
1,3965_chunk000,4
1,547_chunk000,4
1,5761_chunk000,2
1,583_chunk000,4
1,959_chunk001,2
1,513_chunk000,2
1,1564_chunk000,4
2,2508_chunk001,2
2,181_chunk001,4
2,3406_chunk001,2
2,5761_chunk001,1
2,938_chunk000,2
2,54_chunk000,4
2,4184_chunk001,2
2,943_chunk000,1
2,563_chunk001,1
2,960_chunk001,1
2,634_chunk001,2
2,108_chunk000,4
2,62_chunk000,4
2,5889_chunk000,2
2,1087_chunk000,4
2,256_chunk000,4
2,4709_chunk001,4
2,913_chunk001,4
2,3409_chunk000,4
2,986_chunk001,4
2,547_chunk000,4
2,657_chunk000,4
2,565_chunk000,2
2,36_chunk001,4
2,645_chunk000,4
2,4960_chunk001,2
2,46_chunk001,1
2,564_chunk000,2
2,1564_chunk000,4
0,3968_chunk000,4
0,4150_chunk000,4
0,2505_chunk000,4
0,1091_chunk000,4
0,981_chunk000,4
0,198_chunk000,4
0,951_chunk000,4
0,2509_chunk000,4
0,3239_chunk000,4
0,3168_chunk000,4
0,1090_chunk000,4
0,4709_chunk000,5
0,650_chunk000,4
0,4167_chunk000,4
0,3269_chunk000,4
0,1012_chunk000,4
0,57_chunk000,4
0,607_chunk000,4
0,2507_chunk000,4
0,2508_chunk000,4
0,3207_chunk000,4
0,4037_chunk000,4
0,3960_chunk000,4
0,3924_chunk000,4
0,960_chunk000,4
0,651_chunk001,4
0,46_chunk000,4
0,4235_chunk000,4
0,2506_chunk001,4
0,1648_chunk001,4
0,3957_chunk000,4
0,625_chunk001,4
0,1010_chunk001,4
0,954_chunk000,4
0,121_chunk000,1
0,564_chunk000,4
0,1090_chunk001,4
0,3268_chunk000,4
0,2506_chunk000,4
0,136_chunk000,4
1,951_chunk000,4
1,4036_chunk000,4
1,4150_chunk000,4
1,608_chunk000,2
1,3968_chunk000,2
1,925_chunk000,4
1,24_chunk000,2
1,914_chunk001,2
1,4709_chunk000,4
1,650_chunk000,4
1,957_chunk001,4
1,146_chunk000,2
1,1564_chunk001,2
1,4828_chunk000,2
1,960_chunk000,2
1,2507_chunk000,2
1,657_chunk000,4
1,607_chunk000,4
1,2505_chunk000,4
1,958_chunk000,2
1,3924_chunk001,4
1,565_chunk000,2
1,1091_chunk000,2
1,3268_chunk000,2
1,930_chunk000,2
1,4962_chunk001,2
1,3240_chunk001,2
1,64_chunk000,4
1,121_chunk000,2
1,197_chunk000,4
1,200_chunk000,4
1,3168_chunk000,2
1,198_chunk000,4
1,167_chunk001,2
1,557_chunk000,2
1,1010_chunk001,4
1,564_chunk000,2
1,117_chunk000,4
1,955_chunk001,2
2,951_chunk000,4
2,608_chunk000,2
2,4150_chunk000,4
2,633_chunk000,4
2,4036_chunk000,4
2,146_chunk000,2
2,960_chunk000,2
2,959_chunk001,2
2,24_chunk000,2
2,3968_chunk000,2
2,925_chunk000,5
2,4709_chunk000,4
2,957_chunk001,4
2,3924_chunk001,4
2,2505_chunk000,4
2,197_chunk000,4
2,200_chunk000,4
2,914_chunk001,2
2,958_chunk000,2
2,198_chunk000,4
2,3268_chunk000,4
2,1564_chunk001,2
2,36_chunk000,4
2,513_chunk000,2
2,3269_chunk000,4
2,607_chunk000,4
2,3277_chunk000,2
2,4828_chunk000,2
2,1091_chunk000,4
2,2507_chunk000,2
2,572_chunk000,1
2,930_chunk000,4
2,955_chunk001,2
2,557_chunk000,2
2,650_chunk000,4
2,1010_chunk001,4
2,3240_chunk001,4
0,5889_chunk000,5
0,2471_chunk001,5
0,42_chunk000,1
0,1000_chunk000,4
0,512_chunk000,4
0,6098_chunk001,4
0,573_chunk001,2
0,2510_chunk000,4
0,119_chunk000,4
0,129_chunk000,4
0,554_chunk000,2
0,130_chunk000,4
0,647_chunk000,2
1,4167_chunk000,2
1,935_chunk000,2
1,148_chunk001,5
1,512_chunk000,2
1,3269_chunk000,2
1,634_chunk000,2
1,928_chunk000,4
1,36_chunk000,4
1,3315_chunk000,2
1,3276_chunk000,2
1,3275_chunk000,2
1,1090_chunk000,2
1,3427_chunk000,2
1,554_chunk000,1
1,1000_chunk000,4
1,55_chunk000,2
1,201_chunk000,2
1,573_chunk000,2
1,97_chunk000,2
1,69_chunk000,4
2,3981_chunk000,4
2,4167_chunk000,2
2,935_chunk000,2
2,148_chunk001,5
2,634_chunk000,4
2,512_chunk000,4
2,3275_chunk000,2
2,1090_chunk000,2
2,554_chunk000,1
2,3427_chunk000,2
2,3276_chunk000,4
2,647_chunk000,4
2,928_chunk000,4
2,218_chunk000,2
2,6098_chunk001,2
2,55_chunk000,4
2,3315_chunk000,2
2,97_chunk000,2
2,1000_chunk000,4
2,69_chunk000,4
2,1573_chunk000,4
2,573_chunk001,1
