qid,query,docno,text,rank,score
0,Applicant Detention and Asylum Claims,1091_chunk001,"The applicant was arrested on 6 June 2019 in execution of a detention order that had since been issued and, after being questioned, received a notification from the Federal Office for Foreign Affairs and Asylum (BFA) on the same day on detention pending deportation. During detention pending...",0,7.857820979394922
0,Applicant Detention and Asylum Claims,550_chunk001,"The Federal Administrative Court subsequently denied the complaint, whereupon the asylum seeker lodged a complaint against detention. The court proceedings dealing with the individual's detention addressed the question of...",1,7.830413175709774
0,Applicant Detention and Asylum Claims,183_chunk000,"These cases concern the detention of Syrian asylum seekers during different periods between 2010 and 2012. In the cases of M.A., A.H. and J.K., H.S. and Others and K.F. the detention occurred after a police operation in June 2010 removing them from an encampment outside government buildings where they were protesting against the Cypriot Government's asylum policy.",2,7.540411042035936
0,Applicant Detention and Asylum Claims,689_chunk000,"The applicants, a coalition of Belgian NGOs, filed an appeal claiming the suspension of the Royal Decree of 22 July 2018 due to the reception condition of children in detention, with special concern to the children detained in 127bis Centre, located near Brussels Airport.",3,6.613655481721322
0,Applicant Detention and Asylum Claims,913_chunk000,The case concerns the calculation of the maximum time that a person may spend in detention for the purpose of removal. In the present case the applicant had been in detention for more than twenty months.,4,6.432358771511093
0,Applicant Detention and Asylum Claims,148_chunk000,The case concerns “sur place” asylum claims.,5,6.2577595655820115
0,Applicant Detention and Asylum Claims,942_chunk000,"The case concerns the possibility of detention when the asylum application is rejected but the time frame to submit an appeal has not expired. The judgments in Gnandi and the order in C., J. and S. do not envisage that the...",6,6.207536893692845
0,Applicant Detention and Asylum Claims,170_chunk000,Administrative Court Düsseldorf The plaintiff is an asylum seeker and claims to be from Bangladesh.,7,6.086217575944298
0,Applicant Detention and Asylum Claims,957_chunk001,"The appellant claimed her stalker enjoyed political influence and/or protection in Albania so her complaints to the police were not effective, and therefore she fled Albania and claimed asylum in Ireland.",8,6.058318219544031
0,Applicant Detention and Asylum Claims,4233_chunk001,The applicant complained of the legality of the administrative detention and of the procedural issues related to this...,9,6.03686057856086
0,Applicant Detention and Asylum Claims,5443_chunk000,The Constitutional Court dismissed a complaint against the decision of the Federal Administrative Court concerning detention of a Syrian applicant pending return. It found that the lower court correctly assessed that the detention pending return and its extension were lawful.,10,5.925204803002812
0,Applicant Detention and Asylum Claims,550_chunk000,"The case involved an asylum seeker upon whom detention was imposed as a measure to ensure a Dublin procedure. The asylum seeker lodged a complaint against a decision that had been issued based on Art. 5 of the Asylum Act 2005, rejecting the application as inadmissible.",11,5.81686330440148
0,Applicant Detention and Asylum Claims,186_chunk000,"According the WLR Daily case summaries The asylum claimant, an Iraqi national, entered the United Kingdom and claimed asylum. His claim was refused by the Secretary of State and he appealed pursuant to section 82 of the Nationality, Immigration and Asylum Act 2002. His appeal was dismissed by the First-tier Tribunal.",12,5.544434175679031
0,Applicant Detention and Asylum Claims,947_chunk001,"The third-country national submitted information on the risk that, during arrest and detention, Gülenists will be exposed to treatment in conflict with...",13,5.515979376445559
0,Applicant Detention and Asylum Claims,50_chunk001,"The Municipal Court found out that the applicant during his detention lodged the application for international protection, he was re-detained under the provisions of the Act on Asylum implementing Art. 8(3)(d) of the Recast Reception Directive and for this reason his original...",14,5.4193162835308515
0,Applicant Detention and Asylum Claims,4233_chunk000,"The case concerned an applicant from Iraq, D.S., who was residing in Samos Greece and complained of the living conditions during the administrative detention in the police office of Sidirokastro, the PROKEKA (detention center for foreigners pending expulsion) in Tavros and the Samos camp, as well as for an alleged lack of an effective remedy to contest the abovementioned.",15,5.297985987370703
0,Applicant Detention and Asylum Claims,55_chunk001,As part of her asylum claim the applicant submitted a refugee card and a letter from AREF to corroborate her account. The...,16,5.27288412310145
0,Applicant Detention and Asylum Claims,142_chunk001,The individual facts of each case should be considered to determine whether detention will cause a particular individual in his particular circumstances to suffer treatment contrary to Article 3. In view of...,17,5.143943897000975
0,Applicant Detention and Asylum Claims,3277_chunk001,"When the asylum procedure starts, applicants are usually assigned a lawyer through the Legal Aid Board. The applicant claimed that he received the contested...",18,5.085151056055482
0,Applicant Detention and Asylum Claims,150_chunk001,"The Court found that the two weeks detention of four children together with their parents violated Article 3 of the ECHR, and Articles 5, 8, and 37 of the Convention on the Rights of...",19,5.030839132288836
0,Applicant Detention and Asylum Claims,56_chunk001,"The applicants claimed asylum in Ireland on 16 December 2014, and completed their asylum application questionnaires on 26 December 2014. An information request by the Office of the Refugee Applications...",20,4.861307702902915
0,Applicant Detention and Asylum Claims,130_chunk001,"Such a transfer decision can not therefore be taken, let alone notified to the person concerned, until after acceptance by the requested State. The Council also issued an opinion on the possibility of administrative detention...",21,4.8189227004185
0,Applicant Detention and Asylum Claims,50_chunk000,The applicant (Tunisian national) was detained by the Police of the Czech Republic for the purpose of the removal enforcement. The applicant challenged the decision on detention before the Municipal Court of Prague.,22,4.674511871649614
0,Applicant Detention and Asylum Claims,633_chunk000,"The legal question concerned a situation in which the applicant (a third country national) claimed asylum based on events that had happened in another EU MS in which the applicant had lived and towards which the Dublin Regulation was applicable. In the current case, a Nigerian national claimed she was in danger of persecution and serious harm in Spain due to her ex-husband.",23,4.629982714923739
0,Applicant Detention and Asylum Claims,608_chunk001,"The judge at first instance found that the detention was based on an incorrect legal basis, and the Secretary of State appealed to the Council of State. On 31 July, the district court of the Hague, sitting in...",24,4.624137936636474
0,Applicant Detention and Asylum Claims,3981_chunk000,"The case concerned an applicant from Belarus, a mother with her minor son who applied for asylum in Slovakia claiming a fear of persecution upon return to her home country due to opposition to the current regime. She claimed to have publicly and actively participated in anti-government protests following the 2020 presidential elections, within the territory of Slovakia.",25,4.555558852774715
0,Applicant Detention and Asylum Claims,964_chunk001,"The line of reasoning of the defendant who claims that the plaintiff had a legal representative present during the hearing who, unlike the plaintiff, is well versed in the law, could not hold, since the examination of the asylum seeker in the court proceedings represents one of the most important...",26,4.398262871849954
0,Applicant Detention and Asylum Claims,23_chunk000,"The Finnish Immigration Service had rejected A 's application for asylum and residence permit on the basis of the conflict between A and his father' s claims for asylum. Although the father's report has thus affected A's case, he or she has not been given the opportunity to give an explanation of the report and contradictions that it has in relation to his or her report.",27,4.3876731044590125
0,Applicant Detention and Asylum Claims,49_chunk001,"The applicant was therefore detained for the purpose of her removal by the Police of the Czech Republic under the provisions of the Act on the Residence of Foreigners implementing Art. 15 of the Returns Directive. In the detention, the applicant lodged an application for...",28,4.352761594864339
0,Applicant Detention and Asylum Claims,583_chunk000,Two related cases involved applicants applying for asylum on the basis of claiming persecution because of their sexual orientation. The applicants submited that the correct standard of proof required should be a reasonable degree of likelihood.,29,4.338595119835165
0,Applicant Detention and Asylum Claims,506_chunk000,"The applicant claimed to be registered with UNRWA, to have received help from relatives in Syria too. He claimed that the assistance he has previously received from UNRWA has ceased because he was forced out of Syria because of the general situation in the country.",30,4.318187545385424
0,Applicant Detention and Asylum Claims,1011_chunk000,"The case concerns a challenge to detention under the recast Reception Conditions Directive. The applicant requested international protection after being found illegally working in the Czech Republic and using fake documents to obtain such work.

...",31,4.196335451384234
0,Applicant Detention and Asylum Claims,1648_chunk000,"The applicant applied for international protection on 13 January 2010, claiming to be a minor from Zimbabwe and by decision of 29 September 2010 the Federal Office for Asylum rejected the application as unfounded. Upon appeal, the Court of Asylum referred the matter back to the Federal Asylum Office for a new hearing and assessment.",32,4.141136606412362
0,Applicant Detention and Asylum Claims,5889_chunk001,"Upon registration, they were asked their ages by the authorities and claimed to be 14 and 7 years old respectively. As they were undocumented, they...",33,4.050914660021077
0,Applicant Detention and Asylum Claims,200_chunk000,"The applicants, a woman and her three children, were nationals of Pakistan who applied for asylum in the State. They had lived in the UK with the first applicant's husband whom the first named applicant claimed had been violently abusive towards her and the children.",34,4.047054364600175
0,Applicant Detention and Asylum Claims,197_chunk000,"The applicants, a woman and her three children, were nationals of Pakistan who applied for asylum in the State. They had lived in the UK with the first applicant's husband whom the first named applicant claimed had been violently abusive towards her and the children.",35,4.047054364600175
0,Applicant Detention and Asylum Claims,913_chunk001,"The Swedish Migration Court of Appeal referred to Article 15 (5) and (6) of the Return Directive as well as to the relevant provisions of the Swedish law and it held that within the same enforcement of a removal decision, an applicant can be held in detention for a maximum of...",36,4.04228343748876
0,Applicant Detention and Asylum Claims,88_chunk000,"The Court of Appeal confirmed that the First-tier Tribunal had been entitled to refuse an asylum seeker's appeal against the refusal of her claims for asylum and humanitarian protection. She had failed to establish a well-founded fear of persecution if returned to Iran on the basis of her political activities, conversion to Christianity, and the risk of domestic violence from her husband...",37,4.0180475910531985
0,Applicant Detention and Asylum Claims,178_chunk000,"The Court gave guidance on the general approach to be adopted in law and practice by the First-tier Tribunal and Upper Tribunal where claims for asylum were made by children, young people, and other incapacitated or vulnerable persons whose ability to participate effectively in proceedings might be limited.",38,3.931020867459929
0,Applicant Detention and Asylum Claims,36_chunk001,"This appeal is concerned with the proposal of the Secretary of State to remove the appellants from the UK to Bulgaria under the Dublin III Regulation arrangements (Regulation 604/2013), on grounds that they entered into the territory of the European Union in Bulgaria and may be sent back there to make their asylum claims. The Court dismissed...",39,3.86263085994244
0,Applicant Detention and Asylum Claims,3321_chunk001,"The Federal Administrative Court dismissed his appeal, arguing that his claim that he was abused and extorted by the police and had to flee Bangladesh...",40,3.8555931961913874
0,Applicant Detention and Asylum Claims,68_chunk000,"The case concerned the removal of an Afghan family under the Dublin regulation. Both parents were placed separately in administrative detention and weren't allowed to communicate. The mother stayed with her baby while the other children (3, 6 and 8) were placed in a children's home. After 20 days the family was removed to Norway.",41,3.8467035503827582
0,Applicant Detention and Asylum Claims,1010_chunk000,"On 10 October 2018 the applicant was detained for illegal stay in the Czech Republic and placed in detention. Through EURODAC information, it was confirmed that the applicant had applied for international protection in Germany, Denmark and Switzerland. In addition, according to a communication from Germany, the complainant had at least six other identities.",42,3.834280039214673
0,Applicant Detention and Asylum Claims,3265_chunk001,"The husband indicated that the employee appeared at the applicants' home and claimed the amount of compensation, harassed his wife and threatened...",43,3.8336262241197168
0,Applicant Detention and Asylum Claims,178_chunk001,"The guidance was designed to ensure that such persons had an effective right of access to the tribunal and a voice in the proceedings, and that their claims were fairly determined....",44,3.764829495900953
0,Applicant Detention and Asylum Claims,175_chunk001,"(ii) There is a general duty of confidentiality during the process of examining a protection claim, including appellate and judicial review proceedings. If...",45,3.764829495900953
0,Applicant Detention and Asylum Claims,654_chunk000,"F.L., a Cameroonian national claiming to be a minor, applied for international protection in Belgium on 8 January 2018. On the same day, based on his physical appearance and statements, the Minors and Victims of Trafficking in Human Beings Unit of the Belgian Immigration Office expressed doubts as to his claimed minority and referred him for an immediate medical age assessment.",46,3.7561178478684094
0,Applicant Detention and Asylum Claims,173_chunk000,"A Sri Lankan national's appeal against the refusal of his asylum claim based on his membership of proscribed groups and participation in political demonstrations was allowed. The First-tier Tribunal and Upper Tribunal had not been referred to 2014 Home Office policy guidance entitled ""Tamil Separatism"" which was material to the decision and might realistically have affected the outcome....",47,3.497539785227787
