qid,query,docno,docid,score,rank,text
104,Asylvurdering Ved Flygtningenævnet,tyrk20265_chunk011,1019,0.58048487,0,Flygtningenævnet hjemviser derfor sagen. Tyrk/2026/5 /mskb
104,Asylvurdering Ved Flygtningenævnet,dub-sver20268_chunk015,4096,0.5716625,1,"9. marts 2019 i sag C-163/17 Jawo.

Det må efter Flygtningenævnets opfattelse gælde, uanset om udlændingen ønsker at medvirke til udsendelsen eller ej. Klageren skal dog behandles i overensstemmelse med artikel 4 i EU’s charter om grundlæggende rettigheder."
104,Asylvurdering Ved Flygtningenævnet,dub-fran20262_chunk050,3403,0.5716625,2,"9. marts 2019 i sag C-163/17 Jawo.

Det må efter Flygtningenævnets opfattelse gælde, uanset om udlændingen ønsker at medvirke til udsendelsen eller ej. Klageren skal dog behandles i overensstemmelse med artikel 4 i EU’s charter om grundlæggende rettigheder."
104,Asylvurdering Ved Flygtningenævnet,syri20262_chunk063,3705,0.5564152,3,"gelovens § 9 b.

Flygtningenævnet bemærker, at helbredsmæssige forhold i særlige tilf..."
104,Asylvurdering Ved Flygtningenævnet,ukra20264_chunk017,2760,0.55314445,4,"voldsudøvelse og ustabilitet.

Flygtningenævnet stadfæster derfor Udlændingestyrelsens afgørelse.” Ukra/2026/4/flfr"
104,Asylvurdering Ved Flygtningenævnet,dub-sver202610_chunk015,2931,0.54901767,5,"marts 2019 i sag C-163/17 Jawo.

Det må efter Flygtningenævnets opfattelse gælde, uanset om udlændingen ønsker at medvirke til udsendelsen eller ej. Klageren skal dog behandles i overensstemmelse med artikel 4 i EU’s charter om grundlæggende rettigheder."
104,Asylvurdering Ved Flygtningenævnet,dub-sver20269_chunk013,2904,0.54827994,6,"af 19. marts 2019 i sag C-163/17 Jawo.

Det må efter Flygtningenævnets opfat­tel­se gælde, uanset om udlændingen ønsker at medvirke til udsendelsen eller ej. Klageren skal dog behandles i overensstemmelse med artikel 4 i EU’s Charter om grundlæggende rettigheder."
104,Asylvurdering Ved Flygtningenævnet,jord20262_chunk007,3070,0.5422685,7,"Flygtningenævnet kan i det væsentlige lægge ansøgerens forklaring til grund. Nævnet lægger således til grund, at ansøgeren efter frifindelsen for at have krænket [ægtefælle A’s familiemedlem] har modtaget flere trusler fra [ægtefælle A’s] familie, men det er nævnets vurdering, at dette forhold ikke har den fornødne karakter og intensitet til, at der kan meddeles ansøgeren asyl."
104,Asylvurdering Ved Flygtningenævnet,rusl20264_chunk009,4626,0.5407775,8,"Flygtningenævnet stadfæster derfor Udlændingestyrelsens afgørelse.”
Løbenummer: rusl/2026/4/yars"
104,Asylvurdering Ved Flygtningenævnet,etio20261_chunk027,4231,0.536705,9,"dingelovens § 7, stk.

1, stk. 2, eller stk. 3, er opfyldt. Flygtningenævnet stadfæster derfor Udlændingestyrelsens afgørelse. Etio/2026/1/mskb"
104,Asylvurdering Ved Flygtningenævnet,syri20266_chunk061,3820,0.5356835,10,"Flygtningenævnet kan i den forbindelse henvise til, at det fremgår af forarbejderne til udlændingelovens § 7, stk. 2, således som bestemmelsen blev affattet ved lov nr. 365 af 6. juni 2002 (jf. lovforslag nr. L 152 af 18. februar 2002, bemærkningerne til lovforslagets § 1, nr."
104,Asylvurdering Ved Flygtningenævnet,ugan202614_chunk020,5238,0.53404367,11,.
104,Asylvurdering Ved Flygtningenævnet,ugan20262_chunk017,5741,0.53404367,12,.
104,Asylvurdering Ved Flygtningenævnet,stat20261_chunk014,5305,0.5333508,13,"Flygtningenævnet stadfæster derfor Udlændingestyrelsens afgørelse.”
Løbenummer:  Stat/2026/1/Sael"
104,Asylvurdering Ved Flygtningenævnet,rusl202629_chunk039,1257,0.53290963,14,1 eller 2.KonklusionPå den anførte baggrund stadfæster Flygtningenævnet Udlændingestyrelsens afgørel­se.”  Rusl/2026/29/marau
104,Asylvurdering Ved Flygtningenævnet,rusl202628_chunk012,1007,0.5327073,15,1 eller 2.KonklusionPå den anførte baggrund stadfæster Flygtningenævnet Udlændingestyrelsens afgørel­se.”Rusl/2026/28/marau
104,Asylvurdering Ved Flygtningenævnet,soma20263_chunk006,4415,0.5280142,16,"Flygtningenævnet stadfæster derfor Udlændingestyrelsens afgørelse om, at den sag der blev genoptaget [i vinteren 2023/2024] er bortfaldet. Flygtningenævnet tiltræder endvidere, at der ikke er oplysninger om forhold, der er til hinder for udsendelse til [europæisk land], hvor klageren har asyl."
104,Asylvurdering Ved Flygtningenævnet,ugan20267_chunk003,3993,0.52594745,17,"Flygtningenævnet finder således, at ansøgerens forklaringer til oplysnings- og motivsamtalen [i vinteren 2024/2025], asylsamtalen [i sommeren 2025] og under nævnsmødet om den angivelige bortførelse og voldsudøvelse i 2021er usandsynlig og utroværdig, og hans forklaring herom for nævnet har ikke fremstået som havende baggrund i egne oplevelser."
104,Asylvurdering Ved Flygtningenævnet,sril202651_chunk019,3046,0.5259004,18,Flygtningenævnet stadfæster derfor Udlændingestyrelsens afgørelse.”  Sril/2026/1/tmlo
104,Asylvurdering Ved Flygtningenævnet,rusl202630_chunk008,1302,0.5244924,19,1 eller 2.KonklusionPå den anførte baggrund stadfæster Flygtningenævnet Udlændingestyrelsens afgørel­se.” Rusl/2026/30/marau
104,Asylvurdering Ved Flygtningenævnet,stat20264_chunk028,4987,0.52352893,20,"Flygtningenævnet stadfæster derfor Udlændingestyrelsens afgørelse.”
Løbenummer:  stat/2026/4/Saba"
104,Asylvurdering Ved Flygtningenævnet,dub-rumae20263_chunk034,2832,0.5230884,21,"Flygtningenævnet traf den 4. maj 2023 afgørelse om at genoptage sagen til behandling på et nyt skriftligt nævnsmøde, og den 8. september 2023 foretog Flygtningenævnet præjudiciel forelæggelse for EU-Domstolen, som afsagde dom i sagen den 18. december 2025."
104,Asylvurdering Ved Flygtningenævnet,etio20262_chunk033,2378,0.52303314,22,Flygtningenævnet stadfæster derfor Udlændingestyrelsens afgørelse. Etio/2026/2/CLU
104,Asylvurdering Ved Flygtningenævnet,syri202616_chunk009,683,0.5219956,23,"Flygtningenævnet finder også efter de nu foreliggende opdaterede baggrundsoplysninger, at dette fortsat er tilfældet."
104,Asylvurdering Ved Flygtningenævnet,syri202617_chunk009,611,0.5219956,24,"Flygtningenævnet finder også efter de nu foreliggende opdaterede baggrundsoplysninger, at dette fortsat er tilfældet."
104,Asylvurdering Ved Flygtningenævnet,syri20265_chunk018,3905,0.5217409,25,Konklusion[:] Flygtningenævnet stadfæster på den anførte baggrund Udlændingestyrelsens afgørelse.” Syri/2026/5/sahe
104,Asylvurdering Ved Flygtningenævnet,syri20264_chunk052,3758,0.5209538,26,Konklusion[:] Flygtningenævnet stadfæster på den anførte baggrund Udlændingestyrelsens afgørelse.” Syri/2026/4/sahe
104,Asylvurdering Ved Flygtningenævnet,stat202615_chunk021,184,0.52040184,27,"Flygtningenævnet kan, som tidligere fastslået af nævnet, tilslutte sig Udlændingestyrelsens vurdering, hvorefter der ikke længere er grundlag for at opretholde det forsigtighedsprincip, som siden 2019 har været anvendt i forhold til syriske statsborgere."
104,Asylvurdering Ved Flygtningenævnet,stat20264_chunk027,4986,0.5203689,28,"3, 1. pkt. Flygtningenævnet har ikke inddraget forholdene på [udrejsecenter] i vurderingen af, om der foreligger særlige grunde, herunder om det er rimeligt at klageren skal være indkvarteret på [udrejsecenter]. Det tilkommer således ikke nævnet at tage stilling hertil, idet det i første række afgøres af Hjemrejsestyrelsen og i sidste ende domstolene."
104,Asylvurdering Ved Flygtningenævnet,tyrk20262_chunk015,3455,0.51928306,29,Flygtningenævnet stadfæster derfor Udlændingestyrelsens afgørelse.” tyrk/2026/2/sesc
104,Asylvurdering Ved Flygtningenævnet,bang20261_chunk018,4884,0.517082,30,Flygtningenævnet stadfæster derfor Udlændingestyrelsens afgørelse af [sommeren] 2025. Løbenummer: bang/2026/1/SRWM
104,Asylvurdering Ved Flygtningenævnet,bela20261_chunk010,3947,0.5170334,31,"Flygtningenævnet lægger ligesom Udlændingestyrelsen til grund, at ansøgeren i Belarus har været en del af NGO'en [navn på NGO], og at ansøgeren i den forbindelse har udført praktiske opgaver. Det fremgår desuden af sagens oplysninger, at ansøgerens [familiemedlem A], der nu opholder sig i [europæisk land C], har været [stilling B] i [navn på NGO]."
104,Asylvurdering Ved Flygtningenævnet,soma202612_chunk016,237,0.51697826,32,Flygtningenævnet stadfæster derfor Udlændingestyrelsens afgørelse. Soma/2026/12/yars
104,Asylvurdering Ved Flygtningenævnet,syri202616_chunk016,690,0.5168539,33,Flygtningenævnet stadfæster derfor Udlændingestyrelsens afgørelse.” Syri/2026/16/AALK
104,Asylvurdering Ved Flygtningenævnet,rusl20269_chunk014,4899,0.5166862,34,"Flygtningenævnet henviser herved bl.a. til det baggrundsmateriale, der er anført i Udlændingestyrelsens afgørelse, og til EUAA’s rapport fra december 2025 om ”The Russian Federation: Country Focus”."
104,Asylvurdering Ved Flygtningenævnet,afgh202613_chunk019,862,0.51595056,35,"Flygtningenævnet finder dog ikke, at denne divergens i sig selv kan tillægges nogen afgørende betydning. Flygtningenævnet finder derimod, at ansøgerens forklaring om hans [familiemedlem A’s] forsvinden, herunder at hans [familiemedlem] skulle være blevet bortført af Taliban, ikke fremstår overbevisende."
104,Asylvurdering Ved Flygtningenævnet,rusl202635_chunk050,789,0.5145862,36,Flygtningenævnet stadfæster derfor Udlændingestyrelsens afgørelse. rusl/2026/35/SRWM
104,Asylvurdering Ved Flygtningenævnet,dub-tysk202627_chunk012,330,0.51433337,37,"Flygtningenævnet fastholder derfor nævnets afgørelse af [efteråret] 2024, hvorefter klageren skal overføres til Tyskland i medfør af Dublinforordningens artikel 18, stk. 1, litra b.” Dub-Tyskl/2026/27/lafal"
104,Asylvurdering Ved Flygtningenævnet,ghan20263_chunk005,2975,0.51325876,38,Flygtningenævnet hjemviste [i vinteren 2025/2026] sagen til fornyet behandling i Udlændingestyrelsen med henblik på yderligere sagsoplysning og stillingtagen til det påberåbte asylmotiv vedrørende omskæring.
104,Asylvurdering Ved Flygtningenævnet,syri202616_chunk008,682,0.51313084,39,"Flygtningenævnet har navnlig lagt vægt på oplysningerne i EUAA Country Guidance, Syria fra december 2025, s, 71 ff. Flygtningenævnet har på denne baggrund ikke fundet grundlag for at antage, at der i nogen del af Syrien foreligger en generel situation som nævnt i udlændingelovens § 7, stk. 3."
104,Asylvurdering Ved Flygtningenævnet,niga20264_chunk027,1853,0.51309824,40,Niga/2026/4/MPC
104,Asylvurdering Ved Flygtningenævnet,land20264_chunk011,2331,0.51296777,41,"Flygtningenævnet stadfæster på denne baggrund Udlændingestyrelsens afgørelse af [foråret] 2025.Flygtningenævnets begrundelse og resultat vedrørende ansøgerens medfølgende barnAnsøgerens medfølgende barn, [D], er født [i foråret] 2025 i Danmark."
104,Asylvurdering Ved Flygtningenævnet,29b-tysk20261_chunk016,5274,0.5127006,42,"Flygtningenævnet har ved sin vurdering lagt vægt på, at ansøgeren i forbindelse med sine samtaler med Udlændingestyrelsen har oplyst, at han ikke har oplevet konflikter med hverken privatpersoner, grupperinger eller myndigheder, ligesom han har oplyst, at han modtog et fast månedlig økonomisk beløb, havde adgang til bolig og sundhedsbehandling samt blev henvist til et sprogkursus."
104,Asylvurdering Ved Flygtningenævnet,syri202614_chunk014_dup1,652,0.5125733,43,"Flygtningenævnet bemærker tillige, at i lyset af det regimeskifte, som har fundet sted i Syrien, finder Flygtningenævnet ikke længere er grundlag for generelt at anvende et forsigtighedsprincip i forbindelse med asylvurderingen af syriske statsborgere. Endelig bemærker Flygtningenævnet, at mangel på arbejde er socioøkonomiske forhold, der ikke er asylbegrundende."
104,Asylvurdering Ved Flygtningenævnet,syri202614_chunk014,519,0.5125733,44,"Flygtningenævnet bemærker tillige, at i lyset af det regimeskifte, som har fundet sted i Syrien, finder Flygtningenævnet ikke længere er grundlag for generelt at anvende et forsigtighedsprincip i forbindelse med asylvurderingen af syriske statsborgere. Endelig bemærker Flygtningenævnet, at mangel på arbejde er socioøkonomiske forhold, der ikke er asylbegrundende."
104,Asylvurdering Ved Flygtningenævnet,bulg20263_chunk042,1180,0.5125556,45,"Flygtningenævnet traf [i efteråret] 2025 afgørelse om, at der ikke var væsentlige grunde til at antage, at der var sådanne generelle systemfejl i modtage- og indkvarteringsforholdene i Bulgarien, at det kunne begrunde, at der ikke kunne ske overførsel til Bulgarien i medfør af Dublinforordningen af enlige mænd, der ikke kan anses for sårbare, i tilfælde, hvor der ikke er truffet en materiel afgøre"
104,Asylvurdering Ved Flygtningenævnet,indi20262_chunk013,4308,0.51206595,46,Flygtningenævnet stadfæster derfor Udlændingestyrelsens afgørelse.” Indi/2026/2/edo
104,Asylvurdering Ved Flygtningenævnet,land20264_chunk024,2344,0.51040894,47,Konklusion: Flygtningenævnet stadfæster herefter Udlændingestyrelsens afgørelse af [vinteren] 2025. Land/2026/4/MPC
104,Asylvurdering Ved Flygtningenævnet,soma20261_chunk026,5678,0.51025414,48,Flygtningenævnet stadfæster herefter Udlændingestyrelsens afgørelse. Løbenummer: Soma/2026/1/mskb
104,Asylvurdering Ved Flygtningenævnet,dub-rumae20263_chunk035,2833,0.51024705,49,"Flygtningenævnet finder, at varigheden af overførelsesproceduren i perioden frem til Flygtningenævnets præjudicielle forelæggelse for EU-Domstolen den 8. september 2023, efter en konkret vurdering af sagsbehandlingstiden og de sagsskridt, der er foretaget i den pågældende periode, samlet set ikke er gået ud over, hvad der er nødvendigt i lyset af de formål, hvortil proceduren er blevet iværksat."
104,Asylvurdering Ved Flygtningenævnet,syri202617_chunk008,610,0.51017505,50,"Flygtningenævnet har navnlig lagt vægt på oplysningerne i EUAA Country Guidance, Syria fra december 2025, side 71 ff. Flygtningenævnet har på denne baggrund ikke fundet grundlag for at antage, at der i nogen del af Syrien foreligger en generel situation som nævnt i udlændingelovens § 7, stk. 3."
104,Asylvurdering Ved Flygtningenævnet,ukra202620_chunk033,372,0.5100857,51,"Flygtningenævnet har henset til det foreliggende baggrundsmateriale herunder ACLDs konfliktkort senest opdateret juli 2026.Flygtningenævnet bemærker, at socioøkonomiske forhold ikke er asylbegrundende. Flygtningenævnet stadfæster derfor Udlændingestyrelsens afgørelse.” Ukra/2026/20/mskb"
104,Asylvurdering Ved Flygtningenævnet,rusl202612_chunk019,4171,0.50967014,52,Flygtningenævnet stadfæster derfor Udlændingestyrelsens afgørelse. rusl/2026/12/Saba
