qid,docid,docno,rank,score,query,text
0,403,151_chunk001,0,5.8518503976171425,Asylum Definition And Assessment,"None of them possessed documentary evidence supporting their claimed ages and were referred for medical age assessments consisting of an X-ray of the left hand and wrist and a dental X-ray (Liversidge and Haavikko methods).

Following the assessments, in..."
0,423,201_chunk001,1,5.638717731268793,Asylum Definition And Assessment,"It was submitted on behalf of the applicant that a family could be a social group, and that the Tribunal had failed to assess whether..."
0,1,5442_chunk001,2,5.495891122579657,Asylum Definition And Assessment,The Constitutional Court considered that the Federal Administrative Court duly assessed both the security and supply...
0,74,3968_chunk000,3,5.420974232990168,Asylum Definition And Assessment,The case concerned an applicant from Pakistan who applied unsuccessfully for asylum in 2012 and return was ordered. He applied for reconsideration which was assessed as subsequent application which was rejected and again an expulsion order was adopted. An appeal was again rejected.
0,151,1648_chunk000,4,5.272908046821849,Asylum Definition And Assessment,"The applicant applied for international protection on 13 January 2010, claiming to be a minor from Zimbabwe and by decision of 29 September 2010 the Federal Office for Asylum rejected the application as unfounded. Upon appeal, the Court of Asylum referred the matter back to the Federal Asylum Office for a new hearing and assessment."
0,39,4036_chunk001,5,5.107758306722866,Asylum Definition And Assessment,The Supreme Administrative Corut had to determine whether the administrative court could have assessed the application of the exclusion clause in the case without holding an oral...
0,127,3231_chunk001,6,5.107758306722866,Asylum Definition And Assessment,"Finally, it stated that if bone examinations contravene such records and assessments, creating a doubt concerning the applicant's minority, then the applicant should be given the..."
0,447,129_chunk000,7,4.990283112190747,Asylum Definition And Assessment,"In the absence of legally binding criteria to assess risk of absconding, applicants may not be detained while waiting for a transfer under the Dublin Regulation.

..."
0,473,196_chunk001,8,4.5698669695353855,Asylum Definition And Assessment,"Based on Chapter III of the Dublin III Regulation, the Office of the Refugee Applications Commissioner determined that the United Kingdom was responsible to assess applicant's applications. At this point, the..."
0,3,5443_chunk001,9,4.475602991743769,Asylum Definition And Assessment,"It noted also that the lower court duly considered the admissibility of the removal on basis of current country of origin reports on Syria, by assessing both the security and supply situation in Syria as well as the..."
0,223,914_chunk001,10,4.475602991743769,Asylum Definition And Assessment,The Migration Court of Appeal assessed whether the applicant had acted under duress and held that this was not the case as the applicant had benefitted from three permits and always came back to the place of employment. The applicant chose to flee...
0,89,3250_chunk001,11,4.385149240384235,Asylum Definition And Assessment,"Thus, the repealed provision, which states that the absence of proof of possession of the means to support oneself constitutes a threat to public order or safety and is a factor to be taken into account when assessing the duration of an entry ban of up..."
0,235,1086_chunk001,12,4.385149240384235,Asylum Definition And Assessment,"Specifically, the assessment consisted of an initial observation by two officers from the Aliens Police, Identification and Human Trafficking Department (AVIM) on 22 January 2018, recorded in an official report, and a subsequent..."
