docno,text
5442_chunk000,The Constitutional Court rejected the complaint submitted by a Syrian national on grounds of a potential violation of Articles 2 and 3 of the European Convention on Human Rights (ECHR) due to the decision to remove the applicant and return him to Syria. The Constitutional Court did not find procedural deficiencies in the Federal Administrative Court decision.
5442_chunk001,The Constitutional Court considered that the Federal Administrative Court duly assessed both the security and supply...
5443_chunk000,The Constitutional Court dismissed a complaint against the decision of the Federal Administrative Court concerning detention of a Syrian applicant pending return. It found that the lower court correctly assessed that the detention pending return and its extension were lawful.
5443_chunk001,"It noted also that the lower court duly considered the admissibility of the removal on basis of current country of origin reports on Syria, by assessing both the security and supply situation in Syria as well as the..."
5889_chunk000,"The applicants, F.S. and A.S., two brothers who fled Afghanistan after losing their parents in a bombing, travelled through Pakistan, Iran, Turkey, Bulgaria and Serbia before arriving in the Hungarian transit zone in Röszke on 24 October 2017. There, they were detained in a 5-person container on their own and applied for asylum."
5889_chunk001,"Upon registration, they were asked their ages by the authorities and claimed to be 14 and 7 years old respectively. As they were undocumented, they..."
5890_chunk000,"Six Iraqi nationals, a family of two parents and their four minor children, entered the Hungarian transit zone bordering Serbia on 10 July 2018 and submitted an asylum application. On the same day, the asylum authority designated the transit zone in Tompa as the applicants' place of stay."
5890_chunk001,"On 22 August 2018, at the applicants' request, the ECtHR, under the interim measure procedure, ordered the Hungarian Government to ensure that the environment in which the applicants were placed..."
6098_chunk000,"An Egyptian national lodged a subsequent application for international protection, claiming that he feared persecution in the event of return to Egypt on account of his sexual orientation. The Office for the Protection of Refugees and Stateless Persons (OFPRA) rejected the application on 27 April 2022."
6098_chunk001,"The applicant appealed that decision before the National Court of Asylum (CNDA), which dismissed the appeal on 9 May 2023 on the ground that Egyptian criminal law does not criminalise same-sex..."
5761_chunk000,"A. and B., together with their two children, requested international protection in Romania on 12 July 2023 and in Switzerland on 26 July 2023. On 11 August 2023, they submitted an application for recognition of statelessness in Switzerland, claiming to be stateless Maktumin from Syria."
5761_chunk001,"On 7 November 2023, the State Secretariat for Migration (SEM) rejected their asylum application and ordered their transfer to Romania. By separate decision, also dated 7 November 2023, the SEM rejected the..."
4999_chunk000,"The applicant is a national from Ethiopia. On 26 January 2024, the applicant requested international protection in Luxembourg. In support of her application, she claimed that she feared persecution and rape on account of her membership of the Ahmara ethnic group."
4999_chunk001,"The Ministry of Home Affairs found that the responsible State for examining the application under the Dublin III Regulation was Hungary, as the applicant had a Hungarian..."
