qid,docid,docno,query,text,score,rank
0,543,84_chunk000,Applicant Detention and Asylum Claims,"In summary, the applicant claims as follows. He is a national of the Democratic Republic of Congo. He has a well-founded fear of persecution if returned to that country on the ground of his membership of a particular social group, specifically his family, and of his political opinion, specifically his membership of, and involvement with, the UDPS political party there.",-0.008416184224188328,0
0,422,201_chunk000,Applicant Detention and Asylum Claims,"The applicant claimed that after he sought to end a relationship with a woman in Albania in 2012, he was confronted by the woman's brothers who threatened, beat and tortured him, and murdered his father. He moved to Ireland in July 2013 and applied for asylum in April 2014, the application was rejected. An appeal to the tribunal was also rejected in May 2016.",-0.011645079590380192,1
0,42,4233_chunk000,Applicant Detention and Asylum Claims,"The case concerned an applicant from Iraq, D.S., who was residing in Samos Greece and complained of the living conditions during the administrative detention in the police office of Sidirokastro, the PROKEKA (detention center for foreigners pending expulsion) in Tavros and the Samos camp, as well as for an alleged lack of an effective remedy to contest the abovementioned.",-0.014743540436029434,2
0,367,550_chunk000,Applicant Detention and Asylum Claims,"The case involved an asylum seeker upon whom detention was imposed as a measure to ensure a Dublin procedure. The asylum seeker lodged a complaint against a decision that had been issued based on Art. 5 of the Asylum Act 2005, rejecting the application as inadmissible.",-0.018001511693000793,3
0,357,633_chunk000,Applicant Detention and Asylum Claims,"The legal question concerned a situation in which the applicant (a third country national) claimed asylum based on events that had happened in another EU MS in which the applicant had lived and towards which the Dublin Regulation was applicable. In the current case, a Nigerian national claimed she was in danger of persecution and serious harm in Spain due to her ex-husband.",-0.01844925247132778,4
0,405,50_chunk001,Applicant Detention and Asylum Claims,"The Municipal Court found out that the applicant during his detention lodged the application for international protection, he was re-detained under the provisions of the Act on Asylum implementing Art. 8(3)(d) of the Recast Reception Directive and for this reason his original...",-0.023456469178199768,5
0,538,55_chunk000,Applicant Detention and Asylum Claims,The applicant was a Nigerian national who was born in May 1991. She arrived in the State on 9 January 2007 when she was 15 years old and applied for asylum. The applicant claimed to have been threatened with forced marriage and attempted rape. She said she was given assistance by the African Refugee Foundation (“AREF”) before ultimately leaving Nigeria.,-0.02368013560771942,6
0,248,689_chunk000,Applicant Detention and Asylum Claims,"The applicants, a coalition of Belgian NGOs, filed an appeal claiming the suspension of the Royal Decree of 22 July 2018 due to the reception condition of children in detention, with special concern to the children detained in 127bis Centre, located near Brussels Airport.",-0.026174338534474373,7
0,404,50_chunk000,Applicant Detention and Asylum Claims,The applicant (Tunisian national) was detained by the Police of the Czech Republic for the purpose of the removal enforcement. The applicant challenged the decision on detention before the Municipal Court of Prague.,-0.03311241418123245,8
0,209,1010_chunk000,Applicant Detention and Asylum Claims,"On 10 October 2018 the applicant was detained for illegal stay in the Czech Republic and placed in detention. Through EURODAC information, it was confirmed that the applicant had applied for international protection in Germany, Denmark and Switzerland. In addition, according to a communication from Germany, the complainant had at least six other identities.",-0.03467167913913727,9
0,151,1648_chunk000,Applicant Detention and Asylum Claims,"The applicant applied for international protection on 13 January 2010, claiming to be a minor from Zimbabwe and by decision of 29 September 2010 the Federal Office for Asylum rejected the application as unfounded. Upon appeal, the Court of Asylum referred the matter back to the Federal Asylum Office for a new hearing and assessment.",-0.03660738468170166,10
0,19,4992_chunk001,Applicant Detention and Asylum Claims,"In support of his application, the applicant claimed that he feared persecution in Russia due to his previous participation in demonstrations against the war in Ukraine and his support to the opposition.",-0.039475567638874054,11
0,16,4998_chunk000,Applicant Detention and Asylum Claims,"The applicant is a national of Iran. On 27 December 2023, he requested international protection in Luxembourg. In support of his application, he claimed he feared persecution, inhumane and degrading treatment or even the death penalty because of his homosexuality, his opposition to the Iranian government and his support to the “organisation of the Mujahedin of the Iranian People”.",-0.0397455170750618,12
0,195,1091_chunk001,Applicant Detention and Asylum Claims,"The applicant was arrested on 6 June 2019 in execution of a detention order that had since been issued and, after being questioned, received a notification from the Federal Office for Foreign Affairs and Asylum (BFA) on the same day on detention pending deportation. During detention pending...",-0.04311170056462288,13
0,476,186_chunk000,Applicant Detention and Asylum Claims,"According the WLR Daily case summaries The asylum claimant, an Iraqi national, entered the United Kingdom and claimed asylum. His claim was refused by the Secretary of State and he appealed pursuant to section 82 of the Nationality, Immigration and Asylum Act 2002. His appeal was dismissed by the First-tier Tribunal.",-0.04659425839781761,14
0,577,183_chunk000,Applicant Detention and Asylum Claims,"These cases concern the detention of Syrian asylum seekers during different periods between 2010 and 2012. In the cases of M.A., A.H. and J.K., H.S. and Others and K.F. the detention occurred after a police operation in June 2010 removing them from an encampment outside government buildings where they were protesting against the Cypriot Government's asylum policy.",-0.05454733222723007,15
0,172,957_chunk001,Applicant Detention and Asylum Claims,"The appellant claimed her stalker enjoyed political influence and/or protection in Albania so her complaints to the police were not effective, and therefore she fled Albania and claimed asylum in Ireland.",-0.05964747071266174,16
0,340,583_chunk000,Applicant Detention and Asylum Claims,Two related cases involved applicants applying for asylum on the basis of claiming persecution because of their sexual orientation. The applicants submited that the correct standard of proof required should be a reasonable degree of likelihood.,-0.0598437637090683,17
0,479,49_chunk001,Applicant Detention and Asylum Claims,"The applicant was therefore detained for the purpose of her removal by the Police of the Czech Republic under the provisions of the Act on the Residence of Foreigners implementing Art. 15 of the Returns Directive. In the detention, the applicant lodged an application for...",-0.061165936291217804,18
