qid,docid,docno,rank,score,query,text
0,195,1091_chunk001,0,7.857820979394922,Applicant Detention and Asylum Claims,"The applicant was arrested on 6 June 2019 in execution of a detention order that had since been issued and, after being questioned, received a notification from the Federal Office for Foreign Affairs and Asylum (BFA) on the same day on detention pending deportation. During detention pending..."
0,368,550_chunk001,1,7.830413175709774,Applicant Detention and Asylum Claims,"The Federal Administrative Court subsequently denied the complaint, whereupon the asylum seeker lodged a complaint against detention. The court proceedings dealing with the individual's detention addressed the question of..."
0,577,183_chunk000,2,7.540411042035936,Applicant Detention and Asylum Claims,"These cases concern the detention of Syrian asylum seekers during different periods between 2010 and 2012. In the cases of M.A., A.H. and J.K., H.S. and Others and K.F. the detention occurred after a police operation in June 2010 removing them from an encampment outside government buildings where they were protesting against the Cypriot Government's asylum policy."
0,248,689_chunk000,3,6.613655481721322,Applicant Detention and Asylum Claims,"The applicants, a coalition of Belgian NGOs, filed an appeal claiming the suspension of the Royal Decree of 22 July 2018 due to the reception condition of children in detention, with special concern to the children detained in 127bis Centre, located near Brussels Airport."
0,178,913_chunk000,4,6.432358771511093,Applicant Detention and Asylum Claims,The case concerns the calculation of the maximum time that a person may spend in detention for the purpose of removal. In the present case the applicant had been in detention for more than twenty months.
0,523,148_chunk000,5,6.2577595655820115,Applicant Detention and Asylum Claims,The case concerns “sur place” asylum claims.
0,225,942_chunk000,6,6.207536893692845,Applicant Detention and Asylum Claims,"The case concerns the possibility of detention when the asylum application is rejected but the time frame to submit an appeal has not expired. The judgments in Gnandi and the order in C., J. and S. do not envisage that the..."
0,434,170_chunk000,7,6.086217575944298,Applicant Detention and Asylum Claims,Administrative Court Düsseldorf The plaintiff is an asylum seeker and claims to be from Bangladesh.
0,172,957_chunk001,8,6.058318219544031,Applicant Detention and Asylum Claims,"The appellant claimed her stalker enjoyed political influence and/or protection in Albania so her complaints to the police were not effective, and therefore she fled Albania and claimed asylum in Ireland."
0,43,4233_chunk001,9,6.03686057856086,Applicant Detention and Asylum Claims,The applicant complained of the legality of the administrative detention and of the procedural issues related to this...
0,2,5443_chunk000,10,5.925204803002812,Applicant Detention and Asylum Claims,The Constitutional Court dismissed a complaint against the decision of the Federal Administrative Court concerning detention of a Syrian applicant pending return. It found that the lower court correctly assessed that the detention pending return and its extension were lawful.
0,367,550_chunk000,11,5.81686330440148,Applicant Detention and Asylum Claims,"The case involved an asylum seeker upon whom detention was imposed as a measure to ensure a Dublin procedure. The asylum seeker lodged a complaint against a decision that had been issued based on Art. 5 of the Asylum Act 2005, rejecting the application as inadmissible."
0,476,186_chunk000,12,5.544434175679031,Applicant Detention and Asylum Claims,"According the WLR Daily case summaries The asylum claimant, an Iraqi national, entered the United Kingdom and claimed asylum. His claim was refused by the Secretary of State and he appealed pursuant to section 82 of the Nationality, Immigration and Asylum Act 2002. His appeal was dismissed by the First-tier Tribunal."
0,245,947_chunk001,13,5.515979376445559,Applicant Detention and Asylum Claims,"The third-country national submitted information on the risk that, during arrest and detention, Gülenists will be exposed to treatment in conflict with..."
