topic_id,chunk_id,doc_id,query_id,generated_query,chunk_index,total_chunks,chunk_text,item_id,title,url,country,published_date,court,case_type,case_number,topic_label,topic_keywords,topic_probability,topic_name
0,5442_chunk000,5442,5442_chunk000_query,What are the grounds for the Constitutional Court’s rejection of a complaint regarding removal to Syria?,0,2,The Constitutional Court rejected the complaint submitted by a Syrian national on grounds of a potential violation of Articles 2 and 3 of the European Convention on Human Rights (ECHR) due to the decision to remove the applicant and return him to Syria. The Constitutional Court did not find procedural deficiencies in the Federal Administrative Court decision.,5442,AT: The Constitutional Court found that the assessment conducted by the Federal Administrative Court on return of a Syrian applicant was lawful as it was based on updated country of origin information on the security situation.,https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=5442&returnurl=%2fPages%2fsearch.aspx,Austria,18/09/2025,AT: Constitutional Court [Verfassungsgerichtshof Österreich],Decision,E1539/2025,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",0.8350198526430469,Asylum Definition And Assessment
2,5442_chunk001,5442,5442_chunk001_query,define credibility assessment,1,2,The Constitutional Court considered that the Federal Administrative Court duly assessed both the security and supply...,5442,AT: The Constitutional Court found that the assessment conducted by the Federal Administrative Court on return of a Syrian applicant was lawful as it was based on updated country of origin information on the security situation.,https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=5442&returnurl=%2fPages%2fsearch.aspx,Austria,18/09/2025,AT: Constitutional Court [Verfassungsgerichtshof Österreich],Decision,E1539/2025,2_credibility_assessment_define_in,"credibility, assessment, define, in, claims, context, applications, asylum, ethiopian, interpreter",1.0,Credibility Assessment & Interpretation
0,5443_chunk000,5443,5443_chunk000_query,What was the Constitutional Court’s ruling on the detention of a Syrian applicant?,0,2,The Constitutional Court dismissed a complaint against the decision of the Federal Administrative Court concerning detention of a Syrian applicant pending return. It found that the lower court correctly assessed that the detention pending return and its extension were lawful.,5443,AT: The Constitutional Court confirmed that the current situation in Syria does not indicate a real risk of a violation of Articles 2 and 3 of the ECHR in case of return.,https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=5443&returnurl=%2fPages%2fsearch.aspx,Austria,18/09/2025,AT: Constitutional Court [Verfassungsgerichtshof Österreich],Decision,E2795/2025,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",0.8504692352930954,Asylum Definition And Assessment
0,5443_chunk001,5443,5443_chunk001_query,define admissibility of removal on basis of current country of origin reports,1,2,"It noted also that the lower court duly considered the admissibility of the removal on basis of current country of origin reports on Syria, by assessing both the security and supply situation in Syria as well as the...",5443,AT: The Constitutional Court confirmed that the current situation in Syria does not indicate a real risk of a violation of Articles 2 and 3 of the ECHR in case of return.,https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=5443&returnurl=%2fPages%2fsearch.aspx,Austria,18/09/2025,AT: Constitutional Court [Verfassungsgerichtshof Österreich],Decision,E2795/2025,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",0.8970934744954961,Asylum Definition And Assessment
0,5889_chunk000,5889,5889_chunk000_query,provide a timeline of the applicants' journey,0,2,"The applicants, F.S. and A.S., two brothers who fled Afghanistan after losing their parents in a bombing, travelled through Pakistan, Iran, Turkey, Bulgaria and Serbia before arriving in the Hungarian transit zone in Röszke on 24 October 2017. There, they were detained in a 5-person container on their own and applied for asylum.",5889,"The ECtHR examined the case of two Afghan brothers claiming to be minors who were detained in the Röszke transit zone, and found that their detention breached Articles 5(1) and 5(4) of the ECHR, while the detention conditions amounted to a violation of Article 3 in respect of the younger brother, who was confirmed to be underage. The court rejected the complaint under Article 13 concerning the lack of a direct appeal against the age assessment, finding that it had been lodged out of time.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=5889&returnurl=%2fPages%2fsearch.aspx,Council of Europe,19/06/2025,CoE: European Court of Human Rights [ECtHR],Judgment,No 50872/18,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",0.9583451771258927,Asylum Definition And Assessment
4,5889_chunk001,5889,5889_chunk001_query,what is meant by the perceived plausibility of past events and behaviour,1,2,"Upon registration, they were asked their ages by the authorities and claimed to be 14 and 7 years old respectively. As they were undocumented, they...",5889,"The ECtHR examined the case of two Afghan brothers claiming to be minors who were detained in the Röszke transit zone, and found that their detention breached Articles 5(1) and 5(4) of the ECHR, while the detention conditions amounted to a violation of Article 3 in respect of the younger brother, who was confirmed to be underage. The court rejected the complaint under Article 13 concerning the lack of a direct appeal against the age assessment, finding that it had been lodged out of time.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=5889&returnurl=%2fPages%2fsearch.aspx,Council of Europe,19/06/2025,CoE: European Court of Human Rights [ECtHR],Judgment,No 50872/18,4_plausibility_meant_perceived_past,"plausibility, meant, perceived, past, behaviour, events, by, is, what, and",1.0,Perceived Plausibility Of Past Events
0,5890_chunk000,5890,5890_chunk000_query,asylum application submitted by Iraqi family in Hungary,0,2,"Six Iraqi nationals, a family of two parents and their four minor children, entered the Hungarian transit zone bordering Serbia on 10 July 2018 and submitted an asylum application. On the same day, the asylum authority designated the transit zone in Tompa as the applicants' place of stay.",5890,"Relying on R.R and Others v Hungary, the ECtHR found a violation of Article 3 of the ECHR regarding four Iraqi children held in the Tompa transit zone for more than six months due to the conditions therein, the minor applicants’ age and the fifth applicant’s spinal muscular atrophy and her vulnerability. The court also found a violation of Article 5(1) and (4) of the ECHR with regard to all applicants.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=5890&returnurl=%2fPages%2fsearch.aspx,Council of Europe,19/06/2025,CoE: European Court of Human Rights [ECtHR],Judgment,No 39498/18,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",0.8789349300466056,Asylum Definition And Assessment
0,5890_chunk001,5890,5890_chunk001_query,provide a definition of the interim measure procedure,1,2,"On 22 August 2018, at the applicants' request, the ECtHR, under the interim measure procedure, ordered the Hungarian Government to ensure that the environment in which the applicants were placed...",5890,"Relying on R.R and Others v Hungary, the ECtHR found a violation of Article 3 of the ECHR regarding four Iraqi children held in the Tompa transit zone for more than six months due to the conditions therein, the minor applicants’ age and the fifth applicant’s spinal muscular atrophy and her vulnerability. The court also found a violation of Article 5(1) and (4) of the ECHR with regard to all applicants.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=5890&returnurl=%2fPages%2fsearch.aspx,Council of Europe,19/06/2025,CoE: European Court of Human Rights [ECtHR],Judgment,No 39498/18,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",0.959040952907306,Asylum Definition And Assessment
0,6098_chunk000,6098,6098_chunk000_query,provide a definition of OFPRA rejection of international protection application,0,2,"An Egyptian national lodged a subsequent application for international protection, claiming that he feared persecution in the event of return to Egypt on account of his sexual orientation. The Office for the Protection of Refugees and Stateless Persons (OFPRA) rejected the application on 27 April 2022.",6098,"FR: The Council of State held that, in assessing a claim based on sexual orientation, the absence of specific criminal provisions penalising same-sex relations in the country of origin is irrelevant, as persecution may arise from the abusive application of general laws or from acts committed by or tolerated by the authorities.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=6098&returnurl=%2fPages%2fsearch.aspx,France,13/03/2025,FR: Council of State [Conseil d'État],Decision,No 489258,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",1.0,Asylum Definition And Assessment
1,6098_chunk001,6098,6098_chunk001_query,provide a definition of credibility assessment,1,2,"The applicant appealed that decision before the National Court of Asylum (CNDA), which dismissed the appeal on 9 May 2023 on the ground that Egyptian criminal law does not criminalise same-sex...",6098,"FR: The Council of State held that, in assessing a claim based on sexual orientation, the absence of specific criminal provisions penalising same-sex relations in the country of origin is irrelevant, as persecution may arise from the abusive application of general laws or from acts committed by or tolerated by the authorities.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=6098&returnurl=%2fPages%2fsearch.aspx,France,13/03/2025,FR: Council of State [Conseil d'État],Decision,No 489258,1_credibility_assessment_definition_provide,"credibility, assessment, definition, provide, of, context, define, in, remote, cultivation",0.9543076354243981,Credibility Assessment Definition
