qid,query,docno,text,rank,score
103,health notifications and claimant status,bulg20263_chunk024,"Applicants who are children, unaccompanied children, disabled, elderly, pregnant, single parents taking care of underage children, victims of trafficking, persons with serious health issues, psychological disorders or persons who suffered torture, rape or other forms of psychological, physical or sexual violence are considered as individuals belonging to a vulnerable group.",0,-10.02444553375244
103,health notifications and claimant status,dub-fran20262_chunk037,"In Lyon, Marseille, Paris and its surroundings, no subsequent claimants can benefit from reception conditions. In a few cases, subsequent claimants can benefit from these conditions after demonstrating their particular vulnerability and their specific needs in terms of accommodation. It is also possible after these 15 days to lodge an appeal before the administrative court.",1,-13.255332946777344
103,health notifications and claimant status,dub-belg20261_chunk023,"Health care and a dignified standard of living should be always ensured. According to the Constitutional Court, the decision to refuse reception in such cases can only be taken in cases of abuse of the asylum procedure, e.g. when the person applies for asylum for the sole purpose of extending the right to reception.",2,-13.338537216186523
103,health notifications and claimant status,dub-belg20262_chunk029,"Health care and a dignified standard of living should be always ensured. According to the Constitutional Court, the decision to refuse reception in such cases can only be taken in cases of abuse of the asylum procedure, e.g. when the person applies for asylum for the sole purpose of extending the right to reception.",3,-13.338537216186523
103,health notifications and claimant status,ukra20263_chunk001,"Ansøgeren har som asylmotiv henvist til, at han frygter, at de ukrainske myndigheder vil ændre hans status som fritaget for militærtjeneste og tvangsmobilisere ham. Ansøgeren har til støtte herfor oplyst, at han i [vinteren 2023/2024] blev opsøgt af fire uniformerede personer på gaden.",4,-13.466225624084473
103,health notifications and claimant status,ukra20263_chunk022,"Politiet har da rett til å pågripe personen og bringe vedkommende til TRC for videre vurdering og avgjørelse om mobilisering. Når en borger bringes til TRC, kan han holdes midlertidig for verifisering av persondata, medisinsk undersøkelse og videre vurdering av status.",5,-13.600847244262695
103,health notifications and claimant status,syri20265_chunk016,"3, hvorefter enhver ved sin blotte tilstedeværelse i et område vil være i reel risiko for overgreb i strid med Den Europæiske Menneskerettighedskonventions artikel 3 som følge af vilkårlig og udbredt vold i forbindelse med en væbnet konflikt. Afledt status og konsekvensstatus[:] Flygtningenævnet har d.d. meddelt ansøgerens forældre afslag på opholdstilladelse efter udlændingelovens § 7.",6,-13.618468284606934
103,health notifications and claimant status,dub-bulg20261_chunk033,"Medical records were also found to be extremely poor with confidentiality not respected as medical data had been made available to non-medical staff. Equipment of health-care units was also assessed as very basic, no oxygen available, broken ultrasound machines, ECG and defibrillators kept uncharged, with overall meagre medication stocks.",7,-13.641672134399414
103,health notifications and claimant status,irak20265_chunk007,"Klagerens advokat har til støtte for statusændringen gjort gældende, at Flygtningenævnet [i sommeren] 2024 tog stilling til klagers synspunkt om, at hun ikke ville kunne opnå beskyttelse fra myndighederne mod vold og social kontrol udøvet af hendes familie. Der er imidlertid tale om en samlet vurdering.",8,-13.703224182128906
103,health notifications and claimant status,rusl20267_chunk021,"Innsatte og migranter … Det har vært mange nyhetsmeldinger om at arbeidsmigranter, hovedsakelig fra Sentral-Asia, har blitt rekruttert. Kilder Landinfo har intervjuet, mente at myndighetene anser det som lett å rekruttere migranter, på grunn av deres sårbarhet og ofte uavklarte juridiske status i Russland. Mange har ikke arbeidstillatelse og blir truet med deportasjon.",9,-13.809967041015623
